Team,ML Odds,Date
MIN,-280,20170816
SEA,+255,20170816
PHO,-105,20170818
WAS,-105,20170818
NYL,+220,20170818
CON,-260,20170818
IND,+1150,20170818
MIN,-1450,20170818
LAS,-335,20170818
CHI,+275,20170818
SAS,+425,20170818
SEA,-550,20170818
MIN,-220,20170820
NYL,+180,20170820
PHO,+155,20170820
CON,-175,20170820
WAS,-155,20170820
IND,+135,20170820
SEA,+105,20170820
CHI,-125,20170820
CHI,+380,20170825
CON,-475,20170825
MIN,-900,20170825
SAS,+600,20170825
WAS,+170,20170825
NYL,-200,20170825
CON,-135,20170829
WAS,+115,20170829
CON,+180,20170520
IND,-220,20170520
MIN,-465,20170520
DAL,+370,20170520
CON,+600,20170523
MIN,-900,20170523
NYL,+100,20170523
PHO,-120,20170523
CON,+155,20170528
CHI,-175,20170528
IND,+195,20170528
SEA,-235,20170528
SAS,+600,20170528
MIN,-900,20170528
DAL,+130,20170603
IND,-150,20170603
CON,-140,20170603
SAS,+120,20170603
MIN,-160,20170603
SEA,+140,20170603
NYL,+105,20170614
CON,-125,20170614
CON,+500,20170617
MIN,-600,20170617
CON,-135,20170701
IND,+115,20170701
SEA,+120,20170701
DAL,-140,20170701
CON,+235,20170713
LAS,-275,20170713
PHO,-190,20170601
CHI,+165,20170601
NYL,-118,20170616
DAL,-102,20170616
CHI,+325,20170616
PHO,-400,20170616
IND,-123,20170628
CHI,+103,20170628
CHI,+550,20170720
LAS,-800,20170720
IND,-155,20170720
SAS,+135,20170720
DAL,-150,20170810
PHO,+140,20170810
SAS,+270,20170810
CHI,-300,20170810
CHI,+310,20170827
NYL,-370,20170827
MIN,+125,20170827
LAS,-145,20170827
PHO,+130,20170827
SEA,-150,20170827
MIN,-1400,20170830
IND,+925,20170830
DAL,+115,20170830
CHI,-135,20170830
MIN,-190,20170518
NYL,+165,20170518
LAS,-165,20170530
NYL,+145,20170530
IND,+145,20170530
DAL,-165,20170530
DAL,+125,20170602
NYL,-145,20170602
LAS,+250,20170706
MIN,-300,20170706
NYL,+125,20170706
SEA,-145,20170706
NYL,-450,20170801
SAS,+360,20170801
LAS,-135,20170813
NYL,+115,20170813
IND,+160,20170517
PHO,-185,20170517
LAS,-245,20170624
IND,+205,20170624
IND,+1100,20170717
LAS,-1700,20170717
SAS,+125,20170902
IND,-145,20170902
PHO,+315,20170822
MIN,-380,20170822
SAS,+900,20170822
LAS,-1100,20170822
LAS,-140,20170824
PHO,+120,20170824
DAL,-155,20170525
SAS,+135,20170525
SAS,+270,20170621
DAL,-330,20170621
