Team,Spread,Date
LVA,+15,20180520
CON,-15,20180520
IND,+12,20180520
WAS,-12,20180520
ATL,+4,20180520
DAL,-4,20180520
LAS,+5,20180520
MIN,-5,20180520
NYL,-4½,20180520
CHI,+4½,20180520
PHO,+2½,20180520
SEA,-2½,20180520
ATL,+2½,20180523
CHI,-2½,20180523
DAL,+13,20180523
MIN,-13,20180523
SEA,+5,20180523
PHO,-5,20180523
DAL,+3,20180526
ATL,-3,20180526
IND,+15,20180526
CON,-15,20180526
DAL,+3,20180529
NYL,-3,20180529
MIN,-4½,20180529
ATL,+4½,20180529
WAS,+4,20180529
SEA,-4,20180529
CON,-3,20180603
WAS,+3,20180603
PHO,-1,20180603
ATL,+1,20180603
MIN,+4,20180603
LAS,-4,20180603
LVA,+4,20180603
CHI,-4,20180603
PHO,+2,20180605
NYL,-2,20180605
CON,-8,20180605
ATL,+8,20180605
ATL,-4,20180608
LVA,+4,20180608
DAL,-3½,20180608
IND,+3½,20180608
CHI,+11,20180608
PHO,-11,20180608
IND,+9½,20180610
NYL,-9½,20180610
CHI,+13,20180610
LAS,-13,20180610
LVA,+15,20180610
PHO,-15,20180610
ATL,+7,20180610
SEA,-7,20180610
LVA,+3,20180612
IND,-3,20180612
PHO,+1,20180612
DAL,-1,20180612
CHI,+11½,20180612
SEA,-11½,20180612
ATL,+10½,20180612
LAS,-10½,20180612
IND,+10,20180614
ATL,-10,20180614
ATL,-6,20180616
IND,+6,20180616
NYL,+8,20180616
MIN,-8,20180616
CON,+2,20180616
PHO,-2,20180616
CHI,+8½,20180619
WAS,-8½,20180619
ATL,+6,20180619
NYL,-6,20180619
DAL,+6½,20180619
MIN,-6½,20180619
LVA,+11½,20180619
SEA,-11½,20180619
IND,+14½,20180619
LAS,-14½,20180619
CON,-5,20180622
ATL,+5,20180622
LAS,-3½,20180622
DAL,+3½,20180622
WAS,-6,20180622
CHI,+6,20180622
MIN,+2,20180622
PHO,-2,20180622
IND,+11,20180622
SEA,-11,20180622
NYL,-2½,20180622
LVA,+2½,20180622
ATL,-1,20180627
CHI,+1,20180627
IND,+12,20180627
CON,-12,20180627
DAL,-2,20180627
LVA,+2,20180627
PHO,-8½,20180629
IND,+8½,20180629
CHI,+5,20180629
NYL,-5,20180629
ATL,+13½,20180629
MIN,-13½,20180629
LAS,-4½,20180629
LVA,+4½,20180629
MIN,,20180701
DAL,,20180701
ATL,,20180701
IND,,20180701
LVA,,20180701
LAS,,20180701
NYL,,20180701
CHI,,20180701
CON,,20180701
SEA,,20180701
SEA,-5½,20180706
ATL,+5½,20180706
PHO,-4½,20180708
ATL,+4½,20180708
DAL,-3,20180708
NYL,+3,20180708
WAS,+6½,20180708
SEA,-6½,20180708
NYL,+8,20180711
CON,-8,20180711
ATL,+9,20180711
WAS,-9,20180711
MIN,-11,20180711
IND,+11,20180711
IND,+8½,20180713
ATL,-8½,20180713
PHO,+3,20180713
CON,-3,20180713
CHI,+9,20180713
WAS,-9,20180713
LVA,+10,20180713
MIN,-10,20180713
CHI,+4½,20180715
NYL,-4½,20180715
WAS,PK,20180715
ATL,PK,20180715
PHO,-8½,20180715
IND,+8½,20180715
LAS,-4½,20180715
LVA,+4½,20180715
CON,+4,20180715
MIN,-4,20180715
NYL,+10,20180717
DAL,-10,20180717
ATL,+7½,20180717
CON,-7½,20180717
NYL,+7½,20180719
ATL,-7½,20180719
WAS,+4½,20180719
DAL,-4½,20180719
LVA,+9½,20180719
PHO,-9½,20180719
SEA,-1½,20180722
ATL,+1½,20180722
CON,+4½,20180722
DAL,-4½,20180722
IND,+9,20180722
LVA,-9,20180722
LAS,-4½,20180722
CHI,+4½,20180722
WAS,+4½,20180724
CON,-4½,20180724
SEA,-10,20180724
IND,+10,20180724
NYL,+12,20180724
MIN,-12,20180724
ATL,+4,20180724
LAS,-4,20180724
WAS,+2½,20180731
ATL,-2½,20180731
CHI,+8½,20180731
DAL,-8½,20180731
SEA,PK,20180731
PHO,PK,20180731
CHI,+9,20180803
ATL,-9,20180803
MIN,+6½,20180803
SEA,-6½,20180803
LVA,+6½,20180803
WAS,-6½,20180803
LVA,+10,20180805
CON,-10,20180805
WAS,+2,20180805
DAL,-2,20180805
ATL,+5,20180805
MIN,-5,20180805
PHO,+6,20180805
LAS,-6,20180805
LVA,+8½,20180807
ATL,-8½,20180807
SEA,-12½,20180807
IND,+12½,20180807
MIN,-3½,20180807
CHI,+3½,20180807
WAS,+2½,20180807
PHO,-2½,20180807
SEA,-1½,20180809
WAS,+1½,20180809
LAS,PK,20180809
ATL,PK,20180809
MIN,-3½,20180809
LVA,+3½,20180809
DAL,+6½,20180811
ATL,-6½,20180811
IND,+10½,20180811
LVA,-10½,20180811
ATL,-5,20180812
NYL,+5,20180812
DAL,+9,20180812
WAS,-9,20180812
CHI,+13,20180812
CON,-13,20180812
SEA,+1½,20180812
MIN,-1½,20180812
LAS,PK,20180812
PHO,PK,20180812
LAS,+3,20180817
WAS,-3,20180817
MIN,+7,20180817
CON,-7,20180817
LVA,+3,20180817
DAL,-3,20180817
NYL,+16,20180817
SEA,-16,20180817
ATL,+3,20180817
PHO,-3,20180817
LAS,+4,20180819
CON,-4,20180819
ATL,-4½,20180819
LVA,+4½,20180819
NYL,+11½,20180819
PHO,-11½,20180819
IND,+8,20180819
CHI,-8,20180819
DAL,+7½,20180819
SEA,-7½,20180819
WAS,PK,20180819
MIN,PK,20180819
WAS,-5,20180524
IND,+5,20180524
LAS,-2½,20180524
CON,+2½,20180524
PHO,+8,20180601
MIN,-8,20180601
CON,-7,20180601
CHI,+7,20180601
WAS,-8½,20180601
LVA,+8½,20180601
MIN,-5,20180607
WAS,+5,20180607
CON,-6,20180607
NYL,+6,20180607
SEA,+7½,20180607
LAS,-7½,20180607
MIN,+5,20180609
CON,-5,20180609
WAS,+10½,20180613
CON,-10½,20180613
LVA,+10,20180613
NYL,-10,20180613
LAS,-4,20180615
WAS,+4,20180615
LVA,+8,20180615
DAL,-8,20180615
CON,PK,20180615
SEA,PK,20180615
SEA,+2½,20180624
DAL,-2½,20180624
NYL,+11,20180624
LAS,-11,20180624
CON,-8,20180624
IND,+8,20180624
MIN,-5½,20180624
LVA,+5½,20180624
PHO,-7½,20180624
CHI,+7½,20180624
PHO,-3½,20180626
NYL,+3½,20180626
CON,+1,20180626
WAS,-1,20180626
SEA,+6,20180626
MIN,-6,20180626
DAL,+8,20180626
LAS,-8,20180626
SEA,-5½,20180703
NYL,+5½,20180703
IND,+15,20180703
MIN,-15,20180703
CHI,+7½,20180703
DAL,-7½,20180703
CON,+7,20180703
LAS,-7,20180703
NYL,+9,20180705
WAS,-9,20180705
LAS,+5½,20180705
MIN,-5½,20180705
IND,+10,20180705
DAL,-10,20180705
CON,+6,20180705
PHO,-6,20180705
CHI,+3,20180705
LVA,-3,20180705
WAS,+7,20180707
LAS,-7,20180707
MIN,-7½,20180707
CHI,+7½,20180707
CON,-3½,20180707
LVA,+3½,20180707
SEA,+1½,20180720
CON,-1½,20180720
DAL,-7,20180720
CHI,+7,20180720
IND,+17½,20180720
LAS,-17½,20180720
NYL,+12½,20180801
CON,-12½,20180801
PHO,+3,20180801
LVA,-3,20180801
LAS,-8½,20180808
NYL,+8½,20180808
CON,-4½,20180808
DAL,+4½,20180808
CON,-9½,20180810
CHI,+9½,20180810
IND,+12,20180810
PHO,-12,20180810
DAL,+10,20180814
CON,-10,20180814
CHI,+9½,20180814
MIN,-9½,20180814
NYL,+14,20180814
LAS,-14,20180814
CHI,+1½,20180519
IND,-1½,20180519
MIN,-2,20180525
NYL,+2,20180525
CHI,+10,20180525
SEA,-10,20180525
LAS,-11½,20180617
CHI,+11½,20180617
PHO,-7,20180617
LVA,+7,20180617
LAS,+3,20180710
SEA,-3,20180710
PHO,+1½,20180710
DAL,-1½,20180710
LVA,+1½,20180710
CHI,-1½,20180710
SEA,-9½,20180718
CHI,+9½,20180718
IND,+14½,20180718
MIN,-14½,20180718
CHI,+6½,20180725
PHO,-6½,20180725
CHI,-4½,20180818
IND,+4½,20180818
NYL,-4,20180602
IND,+4,20180602
SEA,+1,20180602
DAL,-1,20180602
NYL,+9,20180628
WAS,-9,20180628
LAS,+1,20180628
SEA,-1,20180628
WAS,-5,20180721
NYL,+5,20180721
MIN,+1,20180721
PHO,-1,20180721
IND,+6½,20180804
NYL,-6½,20180804
SEA,-9½,20180806
NYL,+9½,20180806
WAS,-10½,20180815
IND,+10½,20180815
NYL,+12,20180815
LVA,-12,20180815
LVA,+17,20180522
WAS,-17,20180522
LAS,-8,20180522
IND,+8,20180522
DAL,-8½,20180802
IND,+8½,20180802
MIN,+3,20180802
LAS,-3,20180802
MIN,-5½,20180527
WAS,+5½,20180527
PHO,+8½,20180527
LAS,-8½,20180527
SEA,-5,20180527
LVA,+5,20180527
LVA,+12,20180531
SEA,-12,20180531
DAL,+6,20180714
SEA,-6,20180714
DAL,+5,20180518
PHO,-5,20180518
WAS,+6,20180530
PHO,-6,20180530
PHO,+3,20180630
WAS,-3,20180630
DAL,+8,20180712
LAS,-8,20180712
