Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff,Odds,0
ATL,CON,1,20170513,81,74,1,0,0.5134381338742394,0.09208103130755063,0.08108108108108109,0.373134328358209,80.5248,100.5901287553648,91.89715466539499,0.44685990338164255,0.17034068136272545,0.25,0.17567567567567569,86.208,85.83890126206384,93.9587973273942,,,,,,,,,,,,,,,310.0,0.24390243902439024
ATL,CHI,2,20170519,91,83,1,0,0.600263852242744,0.16519823788546256,0.26666666666666666,0.16417910447761194,79.488,114.48268921095007,104.4182769726248,0.4912405303030303,0.12437810945273632,0.2368421052631579,0.2207792207792208,83.9808,98.83211400701113,108.35810089925316,,,,,,,,,,,,,,,-117.0,0.5391705069124424
ATL,CHI,3,20170521,71,75,0,1,0.4277108433734939,0.11702127659574467,0.25,0.2222222222222222,79.67999999999998,89.10642570281124,94.12650602409641,0.4758883248730965,0.15991471215351813,0.2777777777777778,0.2,80.44800000000002,93.22792362768496,88.25576770087511,,,,,,,,,,,,,,,-300.0,0.75
ATL,LAS,4,20170527,75,73,1,1,0.4978757302177377,0.14719202898550726,0.34375,0.2698412698412698,74.2272,101.04112778065183,98.34669770650112,0.5205362236166571,0.1951331496786042,0.3548387096774194,0.31666666666666665,73.0752,99.89709231038711,102.63399894902786,,,,,,,,,,,,,,,260.0,0.2777777777777778
ATL,SAS,5,20170531,77,70,1,1,0.4753086419753086,0.13829787234042554,0.35135135135135137,0.2571428571428571,77.75999999999998,99.02263374485598,90.02057613168724,0.4861111111111111,0.2258064516129032,0.3333333333333333,0.26229508196721313,79.67999999999998,87.85140562248995,96.63654618473896,0.5098221399270537,0.13037314369356628,0.2353744369369369,0.25734423122482825,78.47999999999998,101.30509286244448,97.19715884215431,0.4845428062427021,0.16501967485027474,0.3020507349454717,0.2851899891796941,76.3776,95.83266663355076,109.8399093928174,-240.0,0.7058823529411765
ATL,WAS,6,20170604,72,78,0,0,0.4059539918809201,0.032722513089005235,0.2352941176470588,0.18987341772151892,76.4928,94.12650602409641,101.97038152610443,0.5088726513569938,0.15445719329214475,0.2058823529411765,0.4126984126984127,80.2944,97.14251554280249,89.6700143472023,0.500289766952321,0.14192735395178502,0.3029420045045045,0.2283463634209903,77.78879999999998,100.91321910981728,96.7280142087274,0.5305460033560886,0.114324781006791,0.3074579831932773,0.237779228277807,74.0544,111.48319935603908,110.14576110363058,190.0,0.3448275862068966
ATL,NYL,7,20170607,61,76,0,0,0.3578132332238386,0.09550084889643463,0.2549019607843137,0.2368421052631579,77.9904,78.2147546364681,97.4478910224848,0.5437893531768747,0.2048247610377788,0.3125,0.3793103448275862,74.7648,101.65211436397878,81.58919705529875,0.451712301861865,0.10880842275267068,0.2950988672496025,0.23476994173196705,77.03999999999998,95.82417331310387,96.11604034709733,0.5197076114572613,0.16246097889799824,0.30586024966412906,0.17989526813056222,77.23200000000001,102.7696181241977,107.84747870597414,170.0,0.37037037037037035
ATL,CON,8,20170610,71,104,0,0,0.5144927536231884,0.2247191011235955,0.19444444444444445,0.27586206896551724,78.72,90.1930894308943,132.1138211382114,0.5971520440973818,0.08413967185527976,0.32432432432432434,0.3698630136986301,79.7568,130.39640507141712,89.02062269298668,0.4342378993244511,0.10342831582784318,0.29632435744568103,0.23842491249220096,76.61759999999998,93.10125554651808,96.94638659669441,0.4838609657767308,0.1064057342038372,0.285345267237862,0.2008924001111501,79.16159999999998,102.57963157252027,100.4149919230298,160.0,0.38461538461538464
ATL,SEA,9,20170613,91,86,1,0,0.5578715056400196,0.17248376623376624,0.30303030303030304,0.28169014084507044,85.0176,107.03666064438421,101.15552544414331,0.5429292929292929,0.1592356687898089,0.2222222222222222,0.3787878787878788,82.75200000000002,103.92498066511988,109.96713070378964,0.4383921551758138,0.12281008386236525,0.2589979685567921,0.2399301122732629,77.7408,90.3892459590787,105.38816745462195,0.6191995719089923,0.1547905647189317,0.1995726495726496,0.2923965011886818,72.52799999999998,115.90002312617523,113.42681883283052,280.0,0.2631578947368421
ATL,IND,10,20170615,74,85,0,0,0.4707379134860051,0.09237875288683604,0.2432432432432433,0.18055555555555555,74.49600000000002,99.33419243986256,114.10008591065292,0.637372525494901,0.16315261044176704,0.2,0.2982456140350877,71.6928,118.56141760399929,103.21817532583464,0.4590328710919915,0.1313565573357004,0.24691770647653,0.2460669331988161,79.5552,92.39275268396077,108.171904782736,0.5418740346430873,0.1446616478420631,0.2431618819776714,0.3797146401985112,76.68479999999998,106.72654171645078,114.8268724208215,125.0,0.4444444444444444
ATL,CHI,11,20170623,78,82,0,1,0.463623395149786,0.06657789613848203,0.3023255813953488,0.1891891891891892,74.0352,105.35529045643152,110.75812586445366,0.5044291338582677,0.10955302366345313,0.2647058823529412,0.14473684210526316,78.9888,103.81218603143738,98.74817695673308,0.4752288514932628,0.1462706172851581,0.24890498787557616,0.2437374676573253,79.05600000000003,93.6946742879023,111.2043308788731,0.5557288877335633,0.19128129662482812,0.25955260251537154,0.15082388706521566,78.66239999999998,102.9671880100154,109.72530349916323,-250.0,0.7142857142857143
