Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff,Odds,0,Cover,Line
ATL,SAS,1,20160514,73,63,1,0,0.4732883817427386,0.1628310898827616,0.2222222222222222,0.22388059701492533,80.7552,90.39665557140593,78.0135520684736,0.4017857142857143,0.1327433628318584,0.21621621621621626,0.10810810810810813,79.104,79.64199029126212,92.28357605177992,,,,,,,,,,,,,,,,,0.0,
ATL,IND,2,20160520,85,94,0,0,0.5528095733610823,0.21454842664487128,0.42857142857142855,0.3076923076923077,82.44479999999999,103.09928582518243,114.01568079490765,0.5712202236266407,0.17123287671232876,0.2972972972972973,0.3939393939393939,84.7488,110.91602476967225,100.29640537683129,,,,,,,,,,,,,,,205.0,0.3278688524590164,-1.0,5.5
ATL,CHI,3,20160522,87,81,1,1,0.5020775623268698,0.05456132693147097,0.18421052631578946,0.3013698630136986,81.2544,107.0711247637051,99.68690926275991,0.4672358098754038,0.13041733547351525,0.3333333333333333,0.23376623376623376,82.25280000000002,98.47689075630251,105.77147525676935,,,,,,,,,,,,,,,160.0,0.38461538461538464,1.0,4.0
ATL,NYL,4,20160524,85,79,1,0,0.4498306519898391,0.1448225923244026,0.3111111111111111,0.4473684210526316,92.6208,91.772042564953,85.29401603095633,0.4038854805725972,0.13297872340425532,0.2307692307692308,0.15730337078651685,96.768,81.6385582010582,87.83895502645504,,,,,,,,,,,,,,,290.0,0.2564102564102564,1.0,8.0
ATL,DAL,5,20160527,102,93,1,0,0.6177325581395349,0.12690355329949238,0.3870967741935484,0.5901639344262295,79.2576,128.69428294573643,117.33890503875969,0.5396935933147633,0.18067706352225185,0.4473684210526316,0.43478260869565216,84.63359999999999,109.88543557168785,120.5195099818512,0.4945015423551325,0.14419085894587666,0.28652882205513786,0.3200777971933908,84.2688,98.0847771813116,94.25253953927437,0.510870692250939,0.1317572672613233,0.3126689189189189,0.3260651327838828,77.7216,106.13881903608952,100.37039366556186,165.0,0.37735849056603776,1.0,3.5
ATL,IND,6,20160529,85,76,1,1,0.5177875243664718,0.10860121633362294,0.25,0.3235294117647059,78.79679999999998,107.87240090968164,96.45061728395063,0.4827235772357724,0.16005121638924455,0.2285714285714285,0.1506849315068493,82.29119999999998,92.35495411417018,103.29172499611136,0.5306125864543316,0.13520897480005933,0.3277474600479694,0.4116486315462168,83.8944,107.65918402489423,104.08387778184591,0.5211777719729807,0.14757690803140747,0.2564671814671815,0.2877261296707395,82.3488,102.30688612915787,102.17060574798776,-200.0,0.6666666666666666,1.0,-3.0
ATL,CON,7,20160603,83,77,1,0,0.5095776031434185,0.16420361247947454,0.2564102564102564,0.2714285714285714,83.94239999999998,98.87732540408665,91.72956694114059,0.4681420233463035,0.17956903431763768,0.17142857142857146,0.2054794520547945,90.4704,85.11071024335031,91.74271363893604,0.521857074205679,0.10872217222224724,0.28310460290511225,0.4156079075643164,82.9824,108.85246279601904,99.69261190410664,0.4986524057776549,0.15679486328531705,0.27700348432055755,0.22078742693603173,82.83839999999998,96.59128503058149,106.94161176941687,-225.0,0.6923076923076923,1.0,-5.5
ATL,WAS,8,20160605,79,86,0,1,0.5007606490872212,0.09208103130755063,0.25,0.3283582089552239,73.80479999999999,107.03910856746448,116.52358654179676,0.5111745126010461,0.07682177348551361,0.34210526315789475,0.28378378378378377,74.9952,114.67400580303809,105.34007509813965,0.5237320844098161,0.13613274360924815,0.301154535428729,0.4081225846680345,83.65439999999998,106.80401295611442,97.7032763237018,0.539685533019059,0.1535119578927812,0.2745667869007528,0.3079778862569355,76.55999999999997,105.6113106917122,110.89693395321657,-600.0,0.8571428571428571,-1.0,-11.0
ATL,MIN,9,20160610,78,110,0,1,0.4798228346456693,0.18130539887187752,0.3235294117647059,0.4461538461538462,84.7488,92.03670140462164,129.79534813472284,0.676340383669454,0.10950503723171266,0.21428571428571427,0.37681159420289856,81.90719999999997,134.2983278637287,95.22972339428036,0.5364645836841616,0.12294735335503515,0.2858767576509512,0.3783700316436826,78.95039999999997,110.62077945674228,105.51066895141192,0.5257827691042252,0.13896953238092755,0.19948830409356727,0.22142351441366856,79.03679999999999,101.77926163970513,89.75565893751188,190.0,0.3448275862068966,-1.0,4.5
ATL,CON,10,20160612,93,87,1,1,0.5723781388478583,0.13794567062818336,0.27586206896551724,0.2222222222222222,82.79039999999998,112.33186456400743,105.0846474953618,0.5276564774381368,0.11772260273972605,0.2777777777777778,0.19718309859154928,80.10239999999997,108.61097794822628,116.10139022051777,0.5019871528106953,0.13654781474813146,0.2699849170437406,0.3423675095755868,80.32319999999999,101.45638407146359,108.6247797254027,0.5226437534706956,0.17387718447487013,0.2328125000000001,0.1990774712177377,81.94559999999998,98.2891170771208,105.87425022208572,-650.0,0.8666666666666667,-1.0,-10.5
