Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff,Odds,Line,Cover
LAS,CON,2,20190531,77,70,1,1,0.484398590840463,0.11175681716584712,0.21428571428571427,0.2083333333333333,77.2608,99.66244201457918,90.6022200132538,0.39325842696629215,0.13592233009708735,0.375,0.20512820512820512,81.6,85.78431372549021,94.36274509803923,,,,,,,,,,,,,,,-125.0,-2.0,1.0
LAS,NYL,3,20190604,78,73,1,0,0.4493087557603687,0.12145748987854252,0.2954545454545455,0.20512820512820512,82.368,94.6969696969697,88.62665112665114,0.4807692307692308,0.17406440382941687,0.25,0.2058823529411765,79.6032,91.70485608618748,97.98601061263868,,,,,,,,,,,,,,,-310.0,-6.5,-1.0
LAS,CON,4,20190606,77,89,0,0,0.5401234567901234,0.2275682704811444,0.2258064516129032,0.16666666666666666,81.8688,94.05292370231396,108.71052220137587,0.5440097799511002,0.17206477732793524,0.4375,0.2328767123287671,81.408,109.32586477987421,94.58529874213836,,,,,,,,0.4789504370443104,0.11479321333032558,0.3214834152334153,0.2056908004276425,79.1904,101.97137755532171,93.81216562911399,200.0,5.0,-1.0
LAS,MIN,5,20190608,89,85,1,0,0.5461462935689739,0.16413623307345096,0.3,0.21621621621621626,82.0608,108.45616908438619,103.5817345187958,0.5418154003059663,0.21118262268704746,0.38235294117647056,0.29850746268656714,82.9824,102.43135893876291,107.25165818294,0.4742362308283965,0.15138257572960515,0.2407048596564726,0.1742528305028305,81.18719999999998,93.12380187314592,96.90941398722671,0.521026527861903,0.1983033409949625,0.30658719027582976,0.15952271609748855,71.8944,96.27787347721384,93.24022384968242,105.0,1.5,1.0
LAS,PHO,6,20190614,85,68,1,0,0.6074899942824472,0.11398176291793315,0.17857142857142858,0.12121212121212124,71.0016,119.71561204254552,95.77248963403645,0.43746783324755534,0.13374944271065534,0.34210526315789475,0.18055555555555555,73.6512,92.32707681612793,115.40884602015987,0.5049942742399823,0.15622970264974625,0.2588866778382908,0.19908610533610527,80.88959999999999,99.21712612456228,97.88028196501915,0.5332445755790614,0.14216667982780273,0.19496920200186985,0.19984069188703907,74.4096,103.9853787023353,103.98096395487082,130.0,0.0,1.0
LAS,NYL,7,20190615,92,98,0,1,0.5282498851630685,0.13850415512465375,0.2926829268292683,0.07142857142857142,85.51679999999998,107.58120041909895,114.5973656638228,0.6016699410609038,0.09951348960636887,0.16666666666666666,0.32857142857142857,81.0624,120.89452076425077,113.49281541133743,0.5357671251004784,0.15678593908776772,0.24995810640971936,0.17730580230580228,79.32479999999998,104.23041863155385,99.1728493702148,0.4979281552170963,0.15706659055808625,0.2350007060864654,0.1949157868275516,81.84959999999998,95.8348480506032,103.9231500308641,-1200.0,-14.0,-1.0
LAS,WAS,8,20190618,52,81,0,1,0.3517316017316017,0.2602081665332266,0.2631578947368421,0.16666666666666666,86.3232,60.238730723606174,93.83340747330959,0.5612527716186253,0.19066846119336026,0.2222222222222222,0.18181818181818185,77.91359999999997,103.9613109906358,66.7405947100378,0.5555024074511533,0.16104760539929552,0.2492652017534001,0.14388089388089387,80.11199999999998,107.45147631208614,105.66552800450769,0.5329432670535665,0.10795186753919404,0.2262423056540704,0.2515553118642683,74.7456,109.0682062018865,101.67332851221241,-155.0,-3.0,-1.0
LAS,SEA,9,20190621,62,84,0,0,0.4677127338563669,0.17438963627304435,0.15625,0.16393442622950818,72.2688,85.7908253630889,116.23273113708821,0.554675118858954,0.14652840396753833,0.3333333333333333,0.14285714285714285,73.6512,114.05109489051094,84.18057003823426,0.5084044436865229,0.16920757941231607,0.25860306253438475,0.14388089388089387,81.22559999999999,98.9979280674092,101.94624932249116,0.5169951242709184,0.16179243346450736,0.24417155425219944,0.2134810064376628,74.30400000000002,99.61999655060616,105.1819973095525,-130.0,-2.0,-1.0
LAS,PHO,10,20190623,72,82,0,0,0.4726890756302522,0.11606313834726092,0.2564102564102564,0.17142857142857146,73.11359999999998,98.47689075630257,112.15423669467786,0.5666113875069099,0.131957773512476,0.17142857142857146,0.21875,74.26559999999998,110.4145122371596,96.94932781799379,0.4887960537583712,0.17177093021221446,0.22266556253438474,0.13081044638421685,78.77759999999998,93.33159213708487,105.10899847706426,0.469562655917317,0.12831055536872946,0.2346491228070175,0.23604330566191345,75.9456,95.5983213938102,106.33984581997869,-110.0,0.0,-1.0
LAS,LVA,11,20190627,86,74,1,1,0.5269607843137255,0.14644351464435149,0.2,0.18666666666666668,84.09599999999998,102.2640791476408,87.99467275494673,0.4787784679089026,0.19734108849189866,0.24390243902439024,0.125,82.8288,89.3409055787359,103.82861999690928,0.4550958240953225,0.17229127406954636,0.2421252694940917,0.14336455893832942,79.30559999999997,88.02191181552412,109.2044352422246,0.5077127760839544,0.17077645426200147,0.17764154240447355,0.2256926566432829,79.60319999999999,94.35300327331892,93.03200435992176,105.0,1.5,1.0
