,Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff,Odds,0
0,ATL,DAL,1,20180520,78.0,101.0,0,0,0.45710267200000004,0.140958518,0.333333333,0.287671233,81.9072,95.22972339,123.31028290000002,0.612269641,0.127011008,0.363636364,0.515625,79.1808,127.55617520000001,98.50872939,,,,,,,,,,,,,,,170.0,0.37037037037037035
1,ATL,CHI,2,20180523,81.0,63.0,1,0,0.527893639,0.17256255399999998,0.375,0.12676056300000002,77.4912,104.527998,81.29955401,0.429858079,0.15067223,0.21621621600000002,0.147058824,75.1488,83.83367399,107.7861523,,,,,,,,,,,,,,,125.0,0.4444444444444444
2,ATL,DAL,3,20180526,70.0,78.0,0,1,0.369666244,0.11248593900000001,0.290909091,0.188235294,87.0528,80.41096898,89.600794,0.5281690139999999,0.221425559,0.296296296,0.482758621,83.3664,93.56287425,83.96668202,,,,,,,,,,,,,,,-155.0,0.6078431372549019
3,ATL,MIN,4,20180529,76.0,74.0,1,1,0.5523255810000001,0.158924205,0.090909091,0.26666666699999997,75.648,100.465313,97.821489,0.507962658,0.18009905399999998,0.25,0.132352941,77.6064,95.35296058,97.93006762,,,,,,,,,,,,,,,260.0,0.2777777777777778
4,ATL,PHO,5,20180603,71.0,78.0,0,1,0.4143324000000001,0.131738954,0.37209302299999997,0.184210526,79.3728,89.45129818,98.27044025,0.574204947,0.18089725,0.24137931,0.26666666699999997,72.8832,107.02054790000001,97.4161398,0.476747034,0.14623280400000002,0.27253787875,0.21733343925,80.5248,95.1585008425,98.0080299775,0.558918715,0.14792676925,0.15063033025,0.30840773825,75.18719999999998,104.92687228,108.831260175,-102.0,0.504950495049505
5,ATL,CON,6,20180605,82.0,77.0,1,1,0.540326832,0.146264626,0.081081081,0.3125,82.4448,99.4604875,93.39582363,0.43670598899999996,0.153609831,0.282608696,0.12195122,87.5136,87.98632441,93.69972209999999,0.466054466,0.14392791300000002,0.28222780125,0.1914682625,79.8912,93.71389454,91.748069315,0.6034920602499999,0.1647254275,0.3751260335000001,0.215781821,81.48479999999998,118.39308075,94.43784363749998,340.0,0.22727272727272727
6,ATL,LVA,7,20180608,87.0,83.0,1,0,0.528939689,0.117975118,0.256410256,0.246575342,79.9104,108.8719366,103.8663303,0.501449976,0.12663571099999998,0.19512195100000002,0.28571428600000004,83.2896,99.65229753,104.4548179,0.46916276425,0.13735343100000005,0.2087480715,0.23790312175,81.1296,92.447016915,94.77213672,0.551244411,0.155744455,0.234355893,0.31362620175,81.8304,105.92285393250002,114.3194568225,-200.0,0.6666666666666666
7,ATL,SEA,8,20180610,67.0,64.0,1,0,0.45368364,0.159380692,0.194444444,0.115942029,77.6064,86.33308593,82.46742537,0.39273441299999995,0.172623883,0.340909091,0.135135135,80.1408,79.85944737,83.60285897,0.5089811255,0.13872572575000006,0.20012336274999998,0.25248813374999995,79.344,99.56225882,98.338520795,0.61424066,0.14966319700000005,0.2683486705000001,0.21401726625,78.7008,119.81150354999995,108.782500695,280.0,0.2631578947368421
8,ATL,LAS,9,20180612,64.0,72.0,0,0,0.446927374,0.133171913,0.333333333,0.184615385,68.736,93.10986965,104.74860340000001,0.518731988,0.15776699,0.28125,0.10769230800000001,70.464,102.1798365,90.82652134,0.4843206402499999,0.13883984750000006,0.22600720100000002,0.21480697424999995,79.83359999999998,96.0292020525,94.5000048875,0.5227394632499999,0.16218001924999995,0.21954621625000006,0.180324332,72.768,99.7348901225,95.78773976250002,310.0,0.24390243902439024
9,ATL,IND,10,20180614,72.0,67.0,1,1,0.448877805,0.10089686099999999,0.2,0.34328358200000003,77.952,92.36453202,85.95032841,0.443826179,0.146925859,0.26829268300000003,0.19117647100000001,74.3808,90.07700912,96.79917398,0.4924693837499999,0.13919808725000002,0.2163172785,0.21490818899999997,77.17439999999998,96.94384492000002,96.119545675,0.4931546510000001,0.121152756,0.2774669317500001,0.18547109625,82.03200000000002,100.777424625,107.98631742499997,-550.0,0.8461538461538461
10,ATL,IND,11,20180616,64.0,96.0,0,0,0.434782609,0.19650655,0.257142857,0.164179104,79.296,80.7102502,121.0653753,0.5660377360000001,0.114822547,0.35483871,0.25,81.408,117.9245283,78.6163522,0.469607127,0.127856146,0.24604700825,0.2226040845,76.0512,95.16985605000002,94.25817187,0.4876247715000001,0.13442717324999998,0.2877219207500001,0.1952905305,80.00640000000001,98.746222995,105.81710486999998,-220.0,0.6875
11,ATL,NYL,12,20180619,72.0,79.0,0,0,0.439238653,0.17178658,0.27906976699999997,0.402985075,83.4816,86.24655014,94.6316314,0.47705314,0.12658227800000002,0.184210526,0.21621621600000002,84.288,93.72627183,85.4214123,0.446067857,0.147489004,0.2462301585,0.202005025,75.8976,88.12943445000002,98.55793312000002,0.4880123844999998,0.16371248974999994,0.20836878525000005,0.12535621475000006,78.4608,92.60221887250002,103.44289592500002,230.0,0.30303030303030304
12,ATL,CON,13,20180622,75.0,70.0,1,1,0.47444332,0.168350168,0.34375,0.44262295100000004,80.6784,92.96168491,86.76423925,0.453838174,0.214023645,0.3,0.23880597,82.6752,84.66867936,90.71644217,0.44245661025,0.15059047600000006,0.26738648925,0.2737657865,77.3664,88.10780050250004,101.59898462750002,0.4987003669999998,0.15014302224999998,0.2981367517500001,0.1774243445,81.024,100.51545745249996,111.9271589175,210.0,0.3225806451612903
13,ATL,CHI,14,20180627,80.0,93.0,0,0,0.524658972,0.173460538,0.256410256,0.164179104,78.9504,101.3294423,117.7954767,0.566796685,0.145772595,0.35135135100000003,0.16,79.7184,116.6606455,100.3532434,0.44933559675,0.15938503975000004,0.26999065600000005,0.33826767799999996,80.352,88.07075431750003,97.10289359,0.51968361575,0.18285712850000002,0.2615347020000001,0.2469376135,78.6336,96.8508409,111.46418407500002,105.0,0.4878048780487805
14,ATL,MIN,15,20180629,74.0,85.0,0,0,0.49677765799999996,0.158227848,0.2,0.194029851,78.2208,94.6039928,108.66674850000001,0.600961538,0.202885482,0.24137931,0.184615385,78.4512,108.3476097,94.32615435,0.4682808885000001,0.17752595900000004,0.2840932200000001,0.2934915585,80.6016,90.31198188750002,105.0641806625,0.5608468347500001,0.13252811074999998,0.26456582625,0.2378717857500001,78.76800000000001,112.1053703,97.39028624250004,800.0,0.1111111111111111
15,ATL,IND,16,20180701,87.0,83.0,1,0,0.571165966,0.155279503,0.2,0.185714286,80.7936,107.6817966,102.7309094,0.551568315,0.15688032300000002,0.181818182,0.272727273,79.9104,103.8663303,108.8719366,0.4837796507500001,0.16795628350000005,0.2698075057500001,0.30095424525,80.3328,93.78541753750002,101.9645239625,0.4810768085,0.16529028824999994,0.2871259477500002,0.15819781175,75.09120000000001,95.169484595,111.49472822499996,,
16,ATL,SEA,17,20180706,86.0,95.0,0,1,0.514600287,0.11632825699999999,0.166666667,0.273972603,85.0176,101.1555254,111.74156880000001,0.599444725,0.140936687,0.225806452,0.2,81.8304,116.0937744,105.0954169,0.5167614790000001,0.16382951425000006,0.2500400640000001,0.246636548,79.66080000000002,99.14422915250002,103.9893434625,0.57285931275,0.1662771205,0.24194420225000005,0.16271376975,75.16799999999995,109.33393628499996,100.32942098249998,178.0,0.3597122302158273
17,ATL,PHO,18,20180708,76.0,70.0,1,1,0.484199796,0.160462131,0.264705882,0.183098592,81.1008,93.71054293,86.31234217,0.448948179,0.170285228,0.209302326,0.081081081,81.5616,85.82470182,93.18110483,0.5268007207500001,0.1508240365,0.2057692307500001,0.20447396099999995,80.74560000000002,101.19268927500002,110.23367585,0.5929675464999999,0.17582125225,0.22198657125000004,0.30266683725000004,77.15519999999998,109.83927706500003,105.27627993,165.0,0.37735849056603776
18,ATL,WAS,19,20180711,106.0,89.0,1,0,0.7104557640000001,0.11820331,0.25,0.19117647100000001,75.456,140.4792197,117.9495335,0.54400978,0.11853448300000001,0.43243243200000003,0.246575342,73.72800000000002,120.71397569999999,143.77170139999996,0.51668592675,0.14757443474999998,0.2078431372500001,0.20920383299999995,81.28320000000002,99.28796443250002,102.36289221750002,0.5332299085,0.12905637074999998,0.2288229785000001,0.3165951815000001,75.6384,106.8753936325,99.77728355000004,810.0,0.10989010989010989
19,ATL,IND,20,20180713,98.0,74.0,1,1,0.648491265,0.17474879899999998,0.37037037,0.26153846199999997,78.2976,125.1634788,94.5111983,0.490196078,0.137174211,0.243902439,0.19117647100000001,74.3808,99.48803992,131.75443130000002,0.5701054532500001,0.13756830024999994,0.22034313725000004,0.208490488,80.59200000000001,110.7567711575,104.68358846750002,0.4971447075,0.12868616624999996,0.14818359025000022,0.20604613524999998,76.67519999999998,96.0293306725,107.43308212499996,-525.0,0.84
20,ATL,WAS,21,20180715,80.0,77.0,1,1,0.46882325399999997,0.085726532,0.333333333,0.328767123,75.1872,106.4010895,102.41104870000001,0.49409650899999996,0.08243052299999999,0.228571429,0.214285714,73.8432,104.27500429999999,108.33766680000001,0.5894367779999999,0.14243562424999995,0.2629357297500001,0.22744653199999998,79.96800000000002,115.1271917075,102.62866069250003,0.5640970822499999,0.11922249350000005,0.2773000270000001,0.30395064000000005,75.02400000000002,116.427681675,114.83526847500003,-118.0,0.5412844036697247
21,ATL,CON,22,20180717,86.0,83.0,1,0,0.565789474,0.164835165,0.15625,0.323076923,82.56,104.16666670000001,100.5329457,0.500965717,0.126528891,0.272727273,0.102564103,79.5264,104.3678577,108.1401899,0.5779925197500001,0.13478519299999994,0.3046023962500001,0.241145162,77.51040000000002,116.4385827325,100.29603066750003,0.5040280972499998,0.10475757449999999,0.2734532827500001,0.14025449424999992,78.44160000000002,106.51021695999997,109.617088725,285.0,0.2597402597402597
22,ATL,NYL,23,20180719,82.0,68.0,1,1,0.414141414,0.10810810800000001,0.428571429,0.193181818,86.4,94.90740741,78.7037037,0.474860335,0.209713024,0.2,0.16923076899999998,80.256,84.72886762,102.1730463,0.5983899392500002,0.13587845149999994,0.2774884257500001,0.27613974475,77.87520000000002,119.05261367500003,103.85118155000006,0.5670038094999998,0.13366600799999998,0.29994675375,0.24425421300000005,79.28640000000001,113.72773755000006,113.776707655,-450.0,0.8181818181818182
23,ATL,SEA,24,20180722,87.0,74.0,1,1,0.536242604,0.109745391,0.333333333,0.21126760600000002,74.9952,116.00742450000001,98.67298174,0.493596585,0.147794452,0.243243243,0.098591549,75.8016,97.62326917,114.7733029,0.5243113517500001,0.13335465099999996,0.3221312830000001,0.2766410815,80.61120000000003,107.65966060250004,94.03972410000006,0.5818220282499998,0.15503685050000002,0.2752344415,0.24320465925,79.72799999999998,114.760495765,105.66131808,103.0,0.49261083743842365
24,ATL,LAS,25,20180724,81.0,71.0,1,0,0.530938647,0.126031164,0.290322581,0.098591549,75.1488,107.7861523,94.47921989,0.510057471,0.147058824,0.194444444,0.222222222,71.616,99.13985702,113.1032172,0.4962491865000001,0.11710379899999995,0.3128720237500001,0.2640733675,79.78560000000003,105.37064702750004,95.08016996000006,0.5292975857500001,0.12206238949999998,0.21166928000000007,0.19119310374999995,77.34720000000002,106.2465176275,104.7110982125,160.0,0.38461538461538464
25,ATL,WAS,26,20180731,71.0,86.0,0,1,0.42936623100000004,0.098167539,0.295454545,0.219178082,75.5328,93.99889849,113.85782069999999,0.5730277189999999,0.157232704,0.290322581,0.235294118,76.8384,111.9232051,92.40171581,0.51177803475,0.12717995699999995,0.30211933575000005,0.206529474,79.77600000000002,105.71691272750004,93.09721275750003,0.5197893982499997,0.109332384,0.21507359500000006,0.1958745782500001,76.76160000000002,104.72357465000003,111.39011227500004,-155.0,0.6078431372549019
26,ATL,CHI,27,20180803,89.0,74.0,1,1,0.515284854,0.12200081300000001,0.342105263,0.166666667,81.9456,108.60863789999999,90.30381131,0.492545261,0.18454190199999998,0.212121212,0.307692308,81.7152,90.55842732,108.91486529999999,0.477672224,0.11051305049999996,0.3369204720000001,0.18055476375,78.01920000000003,103.17497067500004,96.42843150750004,0.59982500875,0.16114007575000006,0.2807234142500001,0.16878182524999993,80.43839999999997,115.76707814999996,118.223163725,-400.0,0.8
