Team,ML Odds,Date
DAL,+315,20190524
ATL,-380,20190524
IND,+115,20190524
NYL,-135,20190524
SEA,+245,20190531
ATL,-265,20190531
LVA,-118,20190531
PHO,-102,20190531
CON,+115,20190531
LAS,-125,20190531
NYL,+140,20190601
IND,-160,20190601
ATL,-375,20190601
WAS,+285,20190601
SEA,-103,20190601
CHI,-117,20190601
MIN,-135,20190601
DAL,+115,20190601
LVA,-150,20190606
ATL,+130,20190606
LAS,+200,20190606
CON,-240,20190606
PHO,-102,20190606
MIN,-118,20190606
DAL,+950,20190609
WAS,-1450,20190609
CON,-225,20190609
ATL,+185,20190609
LVA,-650,20190609
NYL,+475,20190609
PHO,-123,20190609
IND,+103,20190609
SEA,+105,20190609
CHI,-125,20190609
CHI,+145,20190615
IND,-165,20190615
ATL,-150,20190615
DAL,+130,20190615
NYL,+775,20190615
LAS,-1200,20190615
IND,+105,20190619
ATL,-125,20190619
CHI,+120,20190619
NYL,-140,20190619
ATL,+650,20190621
CON,-1000,20190621
IND,+170,20190621
CHI,-200,20190621
LAS,-130,20190621
SEA,+110,20190621
WAS,-400,20190623
ATL,+325,20190623
LAS,-110,20190623
PHO,-110,20190623
CON,-185,20190623
CHI,+160,20190623
IND,+185,20190623
SEA,-225,20190623
NYL,+135,20190630
ATL,-155,20190630
MIN,-190,20190630
DAL,+165,20190630
CHI,+290,20190630
LAS,-350,20190630
PHO,-145,20190630
SEA,+125,20190630
CHI,+360,20190702
LVA,-450,20190702
ATL,+225,20190702
MIN,-265,20190702
IND,+145,20190705
DAL,-165,20190705
ATL,+220,20190705
SEA,-260,20190705
NYL,+325,20190705
PHO,-400,20190705
WAS,-135,20190705
LVA,+115,20190705
LVA,-200,20190707
NYL,+170,20190707
WAS,-160,20190707
LAS,+140,20190707
ATL,+270,20190707
PHO,-330,20190707
DAL,+235,20190707
CHI,-275,20190707
CON,-220,20190710
ATL,+180,20190710
PHO,+600,20190710
WAS,-900,20190710
LVA,-190,20190710
IND,+165,20190710
MIN,-155,20190710
CHI,+135,20190710
LAS,-155,20190712
IND,+135,20190712
MIN,-117,20190712
ATL,-103,20190712
PHO,+140,20190712
CON,-160,20190712
NYL,+165,20190712
CHI,-190,20190712
DAL,+220,20190712
SEA,-260,20190712
LAS,-180,20190714
ATL,+158,20190714
CON,-230,20190714
IND,+190,20190714
CHI,+103,20190714
DAL,-123,20190714
PHO,-102,20190714
MIN,-118,20190714
NYL,+180,20190714
SEA,-220,20190714
PHO,-155,20190525
SEA,+135,20190525
WAS,+100,20190525
CON,-120,20190525
CHI,+155,20190525
MIN,-175,20190525
CHI,+500,20190605
WAS,-700,20190605
DAL,+165,20190607
IND,-190,20190607
WAS,-440,20190607
NYL,+350,20190607
SEA,+130,20190611
IND,-150,20190611
WAS,+175,20190611
CON,-210,20190611
PHO,-190,20190611
CHI,+165,20190611
SEA,+360,20190614
WAS,-450,20190614
CON,-245,20190614
MIN,+205,20190614
LAS,+130,20190614
PHO,-140,20190614
NYL,+515,20190614
LVA,-620,20190614
WAS,+135,20190618
LAS,-155,20190618
PHO,-240,20190620
DAL,+200,20190620
WAS,+170,20190620
LVA,-200,20190620
WAS,-230,20190626
CHI,+190,20190626
CON,-400,20190626
DAL,+325,20190626
CON,+265,20190629
WAS,-295,20190629
IND,+725,20190629
LVA,-925,20190629
LVA,+195,20190713
WAS,-235,20190713
IND,+425,20190528
CON,-550,20190528
CON,+215,20190602
LVA,-235,20190602
SEA,+380,20190616
CON,-475,20190616
LVA,-265,20190616
MIN,+225,20190616
MIN,+320,20190706
CON,-390,20190706
DAL,+145,20190628
NYL,-165,20190628
CHI,+155,20190628
SEA,-175,20190628
IND,+210,20190628
PHO,-250,20190628
LAS,-310,20190604
NYL,+255,20190604
MIN,-110,20190604
SEA,-110,20190604
MIN,-160,20190612
NYL,+140,20190612
NYL,+250,20190622
MIN,-300,20190622
DAL,+850,20190622
LVA,-1300,20190622
NYL,+275,20190703
SEA,-305,20190703
IND,+100,20190613
DAL,-120,20190613
MIN,-118,20190625
IND,-102,20190625
SEA,+275,20190625
LVA,-305,20190625
SEA,+112,20190529
MIN,-132,20190529
LAS,+135,20190526
LVA,-155,20190526
LAS,+105,20190608
MIN,-125,20190608
LVA,-125,20190627
LAS,+105,20190627
LAS,-280,20190709
DAL,+240,20190709
