Team,ML Odds,Date
LVA,+1000,20180520
CON,-1500,20180520
IND,+575,20180520
WAS,-850,20180520
ATL,+170,20180520
DAL,-200,20180520
LAS,+200,20180520
MIN,-240,20180520
NYL,-200,20180520
CHI,+170,20180520
PHO,+125,20180520
SEA,-145,20180520
ATL,+125,20180523
CHI,-145,20180523
DAL,+700,20180523
MIN,-1100,20180523
SEA,+200,20180523
PHO,-240,20180523
DAL,+135,20180526
ATL,-155,20180526
IND,+800,20180526
CON,-1250,20180526
DAL,+130,20180529
NYL,-150,20180529
MIN,-320,20180529
ATL,+260,20180529
WAS,+135,20180529
SEA,-155,20180529
CON,-185,20180603
WAS,+160,20180603
PHO,-118,20180603
ATL,-102,20180603
MIN,+150,20180603
LAS,-170,20180603
LVA,+160,20180603
CHI,-185,20180603
PHO,+135,20180605
NYL,-155,20180605
CON,-425,20180605
ATL,+340,20180605
ATL,-200,20180608
LVA,+170,20180608
DAL,-190,20180608
IND,+175,20180608
CHI,+420,20180608
PHO,-475,20180608
IND,+330,20180610
NYL,-410,20180610
CHI,+675,20180610
LAS,-1050,20180610
LVA,+750,20180610
PHO,-1165,20180610
ATL,+280,20180610
SEA,-340,20180610
LVA,-110,20180612
IND,-110,20180612
PHO,-155,20180612
DAL,+135,20180612
CHI,+525,20180612
SEA,-750,20180612
ATL,+310,20180612
LAS,-370,20180612
IND,+425,20180614
ATL,-550,20180614
ATL,-220,20180616
IND,+180,20180616
NYL,+255,20180616
MIN,-310,20180616
CON,+115,20180616
PHO,-135,20180616
CHI,+340,20180619
WAS,-425,20180619
ATL,+230,20180619
NYL,-270,20180619
DAL,+255,20180619
MIN,-310,20180619
LVA,+500,20180619
SEA,-700,20180619
IND,+775,20180619
LAS,-1200,20180619
CON,-250,20180622
ATL,+210,20180622
LAS,-230,20180622
DAL,+190,20180622
WAS,-190,20180622
CHI,+165,20180622
MIN,+113,20180622
PHO,-133,20180622
IND,+525,20180622
SEA,-750,20180622
NYL,-132,20180622
LVA,+112,20180622
ATL,+105,20180627
CHI,-125,20180627
IND,+600,20180627
CON,-900,20180627
DAL,-155,20180627
LVA,+135,20180627
PHO,-405,20180629
IND,+360,20180629
CHI,+160,20180629
NYL,-185,20180629
ATL,+800,20180629
MIN,-1000,20180629
LAS,-240,20180629
LVA,+200,20180629
SEA,-215,20180706
ATL,+178,20180706
PHO,-190,20180708
ATL,+165,20180708
DAL,-155,20180708
NYL,+135,20180708
WAS,+255,20180708
SEA,-310,20180708
NYL,+360,20180711
CON,-450,20180711
ATL,+810,20180711
WAS,-1485,20180711
MIN,-550,20180711
IND,+425,20180711
IND,+415,20180713
ATL,-525,20180713
PHO,+135,20180713
CON,-155,20180713
CHI,+415,20180713
WAS,-525,20180713
LVA,+450,20180713
MIN,-600,20180713
CHI,+145,20180715
NYL,-165,20180715
WAS,-102,20180715
ATL,-118,20180715
PHO,-420,20180715
IND,+335,20180715
LAS,-165,20180715
LVA,+145,20180715
CON,+160,20180715
MIN,-185,20180715
NYL,+410,20180717
DAL,-515,20180717
ATL,+285,20180717
CON,-345,20180717
NYL,+360,20180719
ATL,-450,20180719
WAS,+170,20180719
DAL,-200,20180719
LVA,+335,20180719
PHO,-420,20180719
SEA,-123,20180722
ATL,+103,20180722
CON,+165,20180722
DAL,-190,20180722
IND,+350,20180722
LVA,-440,20180722
LAS,-200,20180722
CHI,+170,20180722
WAS,+175,20180724
CON,-190,20180724
SEA,-600,20180724
IND,+500,20180724
NYL,+668,20180724
MIN,-850,20180724
ATL,+160,20180724
LAS,-170,20180724
WAS,+135,20180731
ATL,-155,20180731
CHI,+400,20180731
DAL,-500,20180731
SEA,-120,20180731
PHO,+100,20180731
CHI,+325,20180803
ATL,-400,20180803
MIN,+235,20180803
SEA,-275,20180803
LVA,+255,20180803
WAS,-310,20180803
LVA,+450,20180805
CON,-600,20180805
WAS,+125,20180805
DAL,-145,20180805
ATL,+205,20180805
MIN,-245,20180805
PHO,+280,20180805
LAS,-340,20180805
LVA,+340,20180807
ATL,-425,20180807
SEA,-750,20180807
IND,+525,20180807
MIN,-170,20180807
CHI,+150,20180807
WAS,+125,20180807
PHO,-145,20180807
SEA,-118,20180809
WAS,-102,20180809
LAS,-102,20180809
ATL,-118,20180809
MIN,-145,20180809
LVA,+125,20180809
DAL,+255,20180811
ATL,-310,20180811
IND,+425,20180811
LVA,-550,20180811
ATL,-210,20180812
NYL,+175,20180812
DAL,+360,20180812
WAS,-450,20180812
CHI,+600,20180812
CON,-900,20180812
SEA,+115,20180812
MIN,-135,20180812
LAS,-103,20180812
PHO,-117,20180812
LAS,+125,20180817
WAS,-145,20180817
MIN,+240,20180817
CON,-280,20180817
LVA,+125,20180817
DAL,-145,20180817
NYL,+900,20180817
SEA,-1375,20180817
ATL,+130,20180817
PHO,-150,20180817
LAS,+165,20180819
CON,-190,20180819
ATL,-175,20180819
LVA,+155,20180819
