DEff,Date,FTR,Game Num,Location,OEff,ORB,Opp,Opp Score,Poss,Result,TOV,TSP,Team,Team Score,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff
93.85511773185968,"Fri, May 16, 2014",0.2307692307692308,1,1,98.8607240108922,0.21875,SAS,75,79.9104,1,0.1773049645390071,0.5320581896551725,ATL,79,0.5145444566410539,0.18001800180018002,0.21212121212121213,0.3278688524590164,78.6048,95.41402051783098,100.50276827878194,,,,,,,,,,,,,,
96.12695749440716,"Sat, May 17, 2014",0.20833333333333331,2,0,98.31166107382549,0.3055555555555556,IND,88,91.5456,1,0.2444528018051899,0.5599800895968143,ATL,90,0.5342399222923749,0.21080873898045227,0.2926829268292683,0.13513513513513514,88.6656,99.249314277465,101.50498051104374,,,,,,,,,,,,,,
116.784793814433,"Sat, May 24, 2014",0.18181818181818185,3,0,97.9918384879725,0.2777777777777778,CHI,87,74.49600000000001,0,0.1712328767123288,0.5027548209366391,ATL,73,0.5903908794788273,0.1784121320249777,0.30303030303030304,0.296875,76.4928,113.73619477911646,95.43381860776442,,,,,,,,,,,,,,
99.18331010992415,"Sun, May 25, 2014",0.25396825396825395,4,1,93.13554729834341,0.26666666666666666,IND,82,82.6752,0,0.2231194220144496,0.5265317286652078,ATL,77,0.4890267175572519,0.13424204874019,0.3409090909090909,0.35294117647058826,78.5664,104.37031606386444,98.00627240143369,,,,,,,,,,,,,,
92.38431876606684,"Fri, May 30, 2014",0.2786885245901639,5,1,107.11225364181664,0.3333333333333333,SEA,69,74.68799999999997,1,0.1864801864801865,0.5730659025787966,ATL,80,0.5079505300353356,0.20949720670391064,0.2727272727272727,0.18333333333333326,73.8432,93.44123764950598,108.33766684000696,0.5303312072134585,0.20402751626774385,0.2671875,0.21872224997224998,82.1568,97.07494271775839,101.48754478765599,0.5122778746525296,0.18543439049474797,0.18971487062257852,0.3033108682850226,70.8768,93.3809455027579,104.86924254568183
101.91259975445058,"Sun, Jun 1, 2014",0.25,6,0,91.121853898097,0.36585365853658536,CON,85,83.4048,0,0.176678445229682,0.453028135431569,ATL,76,0.5642591609134361,0.21802325581395351,0.29411764705882354,0.36507936507936506,82.8672,102.57375656472044,91.71300586963238,0.5405831354443645,0.20632132175303866,0.29583333333333334,0.23070207342748328,80.8512,99.13782512548948,101.11984504620779,0.45997748984801035,0.1556976440562276,0.33889517345399695,0.17768782597213972,77.17439999999999,94.1445566010988,98.95427352351761
107.03779819471308,"Tue, Jun 3, 2014",0.1643835616438356,7,1,117.1119439071567,0.40625,LAS,85,79.4112,1,0.177601337233598,0.5907012195121951,ATL,93,0.5083732057416268,0.1606425702811245,0.4411764705882353,0.12987012987012986,81.21600000000001,104.6591804570528,114.50945626477542,0.5138451469030532,0.1893777326091617,0.3109078590785908,0.24111874009414996,78.81600000000002,97.34037333155737,102.56625561121864,0.523349729319438,0.1364194547719989,0.29871571270017444,0.15379122595617442,85.1328,105.58757136501782,98.67176609648514
74.15339446589448,"Sat, Jun 7, 2014",0.2435897435897436,8,1,121.91320785070785,0.4761904761904762,CHI,59,79.56479999999998,1,0.12636080870917574,0.5396083667111705,ATL,97,0.4045529347229841,0.19797624285085788,0.24390243902439024,0.2,77.6832,75.94949744603724,124.86612291975615,0.5358317465469422,0.190969847739479,0.34302591463414633,0.2367600850505634,80.04480000000001,102.12039968635344,100.12950670628865,0.5512251951400962,0.14388080885479243,0.3125268363073241,0.24281941588327458,77.53919999999998,112.1106903748177,106.66213556202128
104.57476330395036,"Fri, Jun 13, 2014",0.22535211267605634,9,1,108.40066927848514,0.3414634146341464,MIN,82,78.4128,1,0.1567725752508361,0.5267724343083787,ATL,85,0.5346896191966614,0.13531799729364005,0.28125,0.29850746268656714,76.4928,107.19963186077645,111.12156961178046,0.5391009060584329,0.16678019441316055,0.39540686701509875,0.2341654574559358,79.2672,109.31481482444455,93.87202779528124,0.5328742544189425,0.11851469782763194,0.27743884468022395,0.2053940943966519,71.42400000000002,108.7970091247351,100.72571120122775
85.48709782786217,"Sun, Jun 15, 2014",0.29411764705882354,10,0,95.69451249387556,0.3953488372093023,WAS,67,78.3744,1,0.17234387672343876,0.4593336599706026,ATL,75,0.4946839929119906,0.2190959409594096,0.14285714285714285,0.12903225806451613,79.4112,84.37097034171501,94.44511605415863,0.5275275389908284,0.15935329160582296,0.39743938734030204,0.2208313544774089,80.1984,109.63691873361168,96.91963892975213,0.48387816486894175,0.17892647470053996,0.31881060116354243,0.24912110793560227,70.27199999999999,94.41687987876367,103.90917511690651
98.60174619640387,"Wed, Jun 18, 2014",0.2898550724637681,11,1,112.1088347164592,0.4,WAS,73,74.0352,1,0.11220825852782763,0.5245197168857432,ATL,83,0.4948481561822126,0.15952597994530535,0.3142857142857143,0.04166666666666666,73.6896,99.06418273406288,112.6346187250304,0.5291039201255868,0.15826964947926214,0.40481318200848126,0.23186076624211477,78.9408,110.78008338255631,92.81326344810502,0.47302834230624813,0.17134130138909345,0.3046405606777125,0.2331112557188535,72.00959999999998,93.59141878223014,102.35932979280275
