Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling4TSP,Rolling4TOV,Rolling4ORB,Rolling4FTR,Rolling4Poss,Rolling4OEff,Rolling4DEff,Opp R4TSP,Opp R4TOV,Opp R4ORB,Opp R4FTR,Opp R4Poss,Opp R4OEff,Opp R4DEff
ATL,PHO,14,"Tue, Jul 14, 2015",71,80,0,0,0.47921166299999995,0.15894641199999998,0.179487179,0.08450704199999999,77.8368,91.216494,102.77914820000001,0.56980057,0.124688279,0.111111111,0.473684211,74.112,107.94473229999998,95.80094991,0.48866918200000004,0.163138975,0.33542438,0.251257511,77.9808,97.51668645,94.29964834,0.588562094,0.120683514,0.211397059,0.21070575600000002,73.4208,117.09893090000001,97.25817691
ATL,LAS,15,"Thu, Jul 16, 2015",76,72,1,0,0.5007907220000001,0.165052817,0.379310345,0.359375,76.6848,99.10699382,93.89083625,0.508474576,0.184331797,0.25925925899999996,0.290322581,76.608,93.98496241,99.20634921,0.49029982899999996,0.15725514,0.270002057,0.240241415,78.6816,96.33155713,97.00473476,0.492697615,0.18664283899999998,0.24361383399999997,0.20493009199999998,71.9904,91.49501596,103.278677
ATL,SEA,16,"Sat, Jul 18, 2015",73,86,0,0,0.478249476,0.19932857699999998,0.325,0.3125,79.0272,92.37325883,108.8232912,0.63123899,0.19020447,0.17391304300000002,0.293103448,76.9152,111.81144950000001,94.90971876,0.498796265,0.164855867,0.319375098,0.26665232899999997,77.904,98.55055775,100.42611240000001,0.52669106,0.19102508399999998,0.135364146,0.280750605,72.0576,92.97957935,112.62059540000001
ATL,CHI,17,"Tue, Jul 21, 2015",92,97,0,0,0.589441312,0.152107779,0.225806452,0.169014085,81.6384,112.69206650000001,118.81663529999999,0.6133029839999999,0.159438776,0.333333333,0.43076923100000003,81.6768,118.76077420000001,112.6390848,0.5127843089999999,0.174517879,0.307487843,0.307277329,76.8288,99.14243237,102.13030309999999,0.538914226,0.11715817099999999,0.36465643299999995,0.127239983,74.8032,114.329916,100.111795
ATL,SAS,18,"Wed, Jul 29, 2015",85,102,0,0,0.533651431,0.14032815199999998,0.264705882,0.363636364,80.2944,105.8604336,127.0325203,0.64491654,0.176935887,0.25925925899999996,0.36923076899999996,85.5168,119.27480919999999,99.3956743,0.511923293,0.168858896,0.277400994,0.23134903199999998,78.7968,98.84720328,106.0774777,0.5540680689999999,0.170948887,0.24265873,0.342087947,71.3664,103.42738829999999,103.48104040000001
ATL,MIN,19,"Fri, Jul 31, 2015",70,86,0,0,0.495750708,0.21205357100000002,0.171428571,0.203125,80.256,87.22089314,107.1570973,0.49357208399999997,0.146886016,0.295454545,0.22077922100000003,85.5552,100.5198983,81.81852184,0.525533235,0.164204331,0.29870567,0.301131362,79.4112,102.50818819999999,112.14082079999999,0.523038627,0.14690920699999999,0.292376631,0.249402455,77.0016,105.5000155,96.65958169
ATL,PHO,20,"Sun, Aug 2, 2015",68,71,0,1,0.44831223600000003,0.136612022,0.153846154,0.12676056300000002,78.5664,86.55099381,90.36942001,0.5025481310000001,0.165406427,0.181818182,0.473684211,75.4944,94.04671075,90.07290607,0.524273232,0.17595452,0.246735226,0.262068862,80.304,99.53666301,115.45738600000001,0.5465782929999999,0.15154802,0.131270361,0.301291423,74.5248,101.42598259999998,97.68222072
ATL,IND,21,"Fri, Aug 7, 2015",77,106,0,0,0.5314743239999999,0.264120276,0.303030303,0.36065573799999995,84.9024,90.69237148,124.84923870000002,0.606684982,0.102711586,0.3125,0.588235294,83.8656,126.3927045,91.81356838,0.516788922,0.160275381,0.203946765,0.21563400300000002,80.1888,98.08109676,110.8439182,0.5176990570000001,0.14691979,0.352256215,0.27834424399999996,77.0016,106.05174109999999,103.84490229999999
ATL,TUL,22,"Sun, Aug 9, 2015",98,90,1,0,0.610972569,0.13015184400000002,0.346153846,0.358208955,79.872,122.69631409999998,112.6802885,0.557482656,0.100312082,0.290322581,0.46875,77.4912,116.14222,126.46597290000001,0.502297175,0.188278505,0.223252728,0.263544416,81.0048,92.58117301,112.3520691,0.455401847,0.112512561,0.363992715,0.289473255,75.3024,99.80478483,108.9958497
ATL,MIN,23,"Fri, Aug 14, 2015",82,84,0,1,0.474756832,0.064963188,0.256410256,0.217948718,79.0656,103.7113486,106.24089359999999,0.55408971,0.155902004,0.21875,0.253731343,79.488,105.6763285,103.1602254,0.521627459,0.185734428,0.24361471899999998,0.262187564,80.8992,96.79014313,108.7640111,0.500788046,0.13459480699999998,0.232912767,0.18043419800000002,71.2224,100.1489926,105.2897317
