Unnamed: 0,Team,Game Number,Location,Result,Date,Season,Opponent,EFG%,TOV%,ORB%,FTR,teamCumEFG%,teamCumTOV%,teamCumORB%,teamCumFTR,Opp EFG%,Opp TOV%,Opp ORB%,Opp FTR,Opp CumEFG%,Opp CumTOV%,Opp CumORB%,Opp CumFTR,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Pace,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R9Pace,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Odds,Line,Implied Prob,Team Points,Opp Points,Cover,Oeff,Deff,Opp Oeff,Opp Deff,Rolling9OEff,Rolling9DEff,Rolling3OEff,Rolling3DEff,Opp R9 OEff,Opp R9 DEff,Opp R3 OEff,Opp R3 DEff
1718,DEN,79,1,1,20180405,2017-2018,MIN,0.455,0.092,0.271,0.213,0.537461538,0.130987179,0.255102564,0.199474359,0.462,0.075,0.261,0.132,0.525948718,0.10971794900000001,0.239,0.229974359,0.516444444,0.11788888900000001,0.204333333,0.235333333,91.5,0.514333333,0.10566666699999999,0.15233333300000002,0.171333333,98.0,97.37777778,0.5417777779999999,0.11788888900000001,0.259777778,0.23055555600000002,95.5,0.532333333,0.134,0.305333333,0.257,96.73333333,-210,-5.0,67.74193548,100,96,-1,109.3,104.9,104.9,109.3,116.86666670000001,115.66666670000001,116.13333329999999,113.9,110.6,115.1111111,107.1,111.06666670000001
1719,DEN,80,0,1,20180407,2017-2018,LAC,0.6940000000000001,0.069,0.233,0.188,0.536417722,0.130493671,0.255303797,0.19964557,0.529,0.08900000000000001,0.366,0.264,0.529658228,0.127341772,0.231265823,0.227177215,0.534555556,0.130444444,0.26388888899999996,0.22111111100000003,93.3,0.5036666670000001,0.133333333,0.299666667,0.275666667,92.8,95.87777778,0.545666667,0.120777778,0.250666667,0.227444444,96.11111111,0.492666667,0.122333333,0.304666667,0.264333333,95.23333333,-110,1.0,52.38095238,134,115,1,143.6,123.3,123.3,143.6,116.86666670000001,114.2777778,112.96666670000002,109.56666670000001,112.66666670000001,113.35555559999999,112.2,121.8
1720,DEN,81,1,1,20180409,2017-2018,POR,0.41,0.113,0.204,0.24100000000000002,0.5383875,0.129725,0.255025,0.1995,0.36700000000000005,0.14300000000000002,0.3,0.138,0.5148125,0.119625,0.230475,0.1972625,0.506222222,0.111888889,0.248,0.16877777800000002,96.0,0.515333333,0.135333333,0.218,0.15366666699999998,95.9,95.71111111,0.561666667,0.11722222199999999,0.252111111,0.213888889,95.86666667,0.555333333,0.10066666699999999,0.271333333,0.19,93.93333333,-175,-3.5,63.63636364,88,82,1,91.7,85.4,85.4,91.7,119.24444440000002,113.62222220000001,121.06666670000001,111.83333329999999,109.63333329999999,109.5222222,107.0,113.63333329999999
1721,DEN,82,0,0,20180411,2017-2018,MIN,0.528,0.109,0.23800000000000002,0.122,0.536802469,0.129518519,0.254395062,0.200012346,0.522,0.07400000000000001,0.17800000000000002,0.213,0.524432099,0.10892592599999999,0.24237037,0.22855555600000002,0.49066666700000006,0.107,0.22588888899999998,0.22166666699999998,88.2,0.485,0.08833333300000001,0.33,0.19166666699999999,94.7,97.43333333,0.525555556,0.112111111,0.24788888899999997,0.223222222,95.57777778,0.5196666670000001,0.091333333,0.23600000000000002,0.214,93.6,130,3.0,43.47826087,106,112,-1,108.8,115.0,115.0,108.8,114.2222222,111.62222220000001,114.86666670000001,104.5333333,107.96666670000002,107.34444440000001,113.2,102.2
1722,BRK,1,0,0,20171018,2017-2018,IND,0.5429999999999999,0.156,0.25,0.309,,,,,0.564,0.10800000000000001,0.304,0.245,,,,,,,,,113.3,,,,,,,,,,,,,,,,,145,3.5,40.81632653,131,140,-1,115.7,123.6,123.6,115.7,,,,,,,,
1723,BRK,2,1,1,20171020,2017-2018,ORL,0.5489999999999999,0.14400000000000002,0.326,0.272,0.5429999999999999,0.156,0.25,0.309,0.607,0.187,0.214,0.146,0.522,0.12,0.25,0.244,,,,,107.4,,,,,,,,,,,,,,,,,-125,-1.5,55.55555556,126,121,1,117.3,112.6,112.6,117.3,,,,,,,,
1724,BRK,3,1,1,20171022,2017-2018,ATL,0.534,0.15,0.289,0.264,0.546,0.15,0.28800000000000003,0.2905,0.37799999999999995,0.127,0.29600000000000004,0.35100000000000003,0.4875,0.114,0.21100000000000002,0.127,,,,,104.6,,,,,,,,,,,,,,,,,-135,-2.5,57.44680851,116,104,1,110.9,99.5,99.5,110.9,,,,,,,,
1725,BRK,4,0,0,20171024,2017-2018,ORL,0.474,0.11900000000000001,0.26899999999999996,0.313,0.542,0.15,0.288333333,0.281666667,0.542,0.099,0.146,0.42200000000000004,0.556,0.138333333,0.243666667,0.193,,,,,105.9,0.556,0.138333333,0.243666667,0.193,103.5,,,,,,,0.542,0.15,0.288333333,0.281666667,108.43333329999999,160,3.5,38.46153846,121,125,-1,114.2,118.0,118.0,114.2,,,114.63333329999999,111.9,,,113.1,105.3
1726,BRK,5,1,1,20171025,2017-2018,CLE,0.522,0.105,0.20800000000000002,0.161,0.525,0.14225,0.2835,0.2895,0.556,0.185,0.243,0.21,0.53425,0.13575,0.22875,0.22525,,,,,101.5,0.549666667,0.13,0.239666667,0.21600000000000003,94.23333333,,,,,,,0.519,0.137666667,0.294666667,0.28300000000000003,105.96666670000002,230,7.0,30.303030300000003,112,107,1,110.3,105.4,105.4,110.3,,,114.13333329999999,110.03333329999998,,,116.5,114.26666670000002
1727,BRK,6,0,0,20171027,2017-2018,NYK,0.473,0.16,0.122,0.2,0.5244,0.1348,0.2684,0.2638,0.495,0.094,0.38799999999999996,0.102,0.4848,0.1362,0.2896,0.191,,,,,93.5,0.48966666700000006,0.11533333300000001,0.288666667,0.160333333,95.66666667,,,,,,,0.51,0.124666667,0.255333333,0.24600000000000002,104.0,120,2.0,45.45454545,86,107,-1,92.0,114.5,114.5,92.0,,,111.8,107.63333329999999,,,107.96666670000002,101.4666667
