Cover,Date,Deff,EFG%,FTR,Game Number,Implied Prob,Line,Location,ORB%,Odds,Oeff,Opp CumEFG%,Opp CumFTR,Opp CumORB%,Opp CumTOV%,Opp Deff,Opp EFG%,Opp FTR,Opp ORB%,Opp Oeff,Opp Points,Opp R3 Deff,Opp R3 Oeff,Opp R3EFG,Opp R3FTR,Opp R3ORB,Opp R3Pace,Opp R3TOV,Opp R9 Deff,Opp R9 Oeff,Opp R9EFG,Opp R9FTR,Opp R9ORB,Opp R9Pace,Opp R9TOV,Opp TOV%,Opponent,Pace,Result,Rolling3DEff,Rolling3EFG,Rolling3FTR,Rolling3OEff,Rolling3ORB,Rolling3Pace,Rolling3TOV,Rolling9DEff,Rolling9EFG,Rolling9FTR,Rolling9OEff,Rolling9ORB,Rolling9Pace,Rolling9TOV,Season,TOV%,Team,Team Points,Unnamed: 0,teamCumEFG%,teamCumFTR,teamCumORB%,teamCumTOV%
1.0,20171107,123.6,0.555,0.402,11,62.26415094,-4.0,1,0.3,-165,128.7,0.5566,0.18,0.157,0.1377,128.7,0.645,0.145,0.22899999999999998,123.6,119,123.03333329999998,116.43333329999999,0.591333333,0.124333333,0.205666667,96.0,0.135333333,114.33333329999999,109.4111111,0.557777778,0.163444444,0.156888889,95.94444444,0.13699999999999998,0.151,MIL,96.3,1,120.3,0.555,0.233,116.6,0.240333333,100.6333333,0.12733333300000002,116.87777779999999,0.539111111,0.22877777800000001,111.26666670000002,0.216777778,98.37777778,0.140666667,2017-2018,0.10800000000000001,CLE,124,10.0,0.534,0.2312,0.2147,0.1419
1.0,20171109,120.6,0.63,0.136,12,37.03703704,5.5,0,0.125,170,116.5,0.546454545,0.225818182,0.199363636,0.14036363599999999,116.5,0.5710000000000001,0.377,0.436,120.6,117,101.6,122.46666670000002,0.6273333329999999,0.205666667,0.18899999999999997,102.1,0.138333333,103.7666667,110.98888889999999,0.553222222,0.225,0.18933333300000002,98.04444444,0.146,0.192,HOU,97.0,0,119.96666670000002,0.559666667,0.312666667,123.66666670000001,0.278333333,99.56666667,0.11533333300000001,118.9777778,0.532888889,0.250111111,111.65555559999999,0.21788888899999997,98.77777778,0.13477777800000001,2017-2018,0.171,CLE,113,11.0,0.5359090910000001,0.246727273,0.222454545,0.13881818199999998
1.0,20171111,103.4,0.506,0.358,13,68.75,-5.5,0,0.233,-220,110.4,0.49908333299999996,0.18425,0.18825,0.135083333,110.4,0.478,0.174,0.17300000000000001,103.4,104,104.7333333,103.3,0.496,0.15733333300000002,0.18666666699999998,98.83333333,0.124,110.86666670000001,103.2777778,0.5016666670000001,0.17911111100000002,0.196111111,96.92222222,0.136555556,0.09,DAL,100.6,1,119.56666670000001,0.558333333,0.252333333,119.23333329999998,0.24600000000000002,98.5,0.129333333,119.44444440000001,0.555777778,0.239333333,114.04444440000002,0.206888889,98.67777778,0.138222222,2017-2018,0.15,CLE,111,12.0,0.54375,0.2375,0.21433333300000001,0.1415
-1.0,20171113,101.0,0.489,0.205,14,65.51724138,-3.5,0,0.28,-190,104.0,0.529230769,0.185307692,0.267692308,0.144769231,104.0,0.47700000000000004,0.193,0.27699999999999997,101.0,101,106.43333329999999,110.33333329999999,0.540666667,0.150333333,0.275,96.2,0.154,109.0888889,113.74444440000002,0.555666667,0.182777778,0.252888889,97.03333333,0.147333333,0.14800000000000002,NYK,100.0,1,115.86666670000001,0.563666667,0.298666667,118.53333329999998,0.21933333300000002,97.96666667,0.14300000000000002,117.4111111,0.5437777779999999,0.256333333,111.94444440000001,0.21,99.62222222,0.145,2017-2018,0.17,CLE,104,13.0,0.540846154,0.246769231,0.215769231,0.142153846
1.0,20171115,107.7,0.511,0.18899999999999997,15,55.55555556,1.5,0,0.327,-125,115.7,0.5035,0.23585714300000002,0.209642857,0.122,115.7,0.512,0.221,0.18600000000000003,107.7,107,109.5,104.86666670000001,0.5056666670000001,0.26,0.158,99.66666667,0.11900000000000001,111.6888889,108.53333329999998,0.5156666670000001,0.222,0.21588888899999997,99.52222222,0.11377777800000001,0.11699999999999999,CHO,99.4,1,108.33333329999999,0.541666667,0.233,110.3,0.212666667,99.2,0.163666667,116.37777779999999,0.536333333,0.255777778,111.7888889,0.21411111100000002,99.45555556,0.143333333,2017-2018,0.111,CLE,115,14.0,0.5371428570000001,0.243785714,0.220357143,0.14414285699999999
-1.0,20171117,103.8,0.528,0.256,16,72.60273973,-6.5,1,0.16,-265,108.3,0.508066667,0.22446666699999998,0.258866667,0.128,108.3,0.495,0.107,0.23199999999999998,103.8,113,107.6,99.6,0.484333333,0.173333333,0.18600000000000003,98.43333333,0.12966666699999999,113.03333329999998,107.8111111,0.507444444,0.228444444,0.251222222,96.86666667,0.133888889,0.121,LAC,98.6,1,104.0333333,0.502,0.250666667,110.03333329999998,0.28,100.0,0.143666667,114.7111111,0.533333333,0.252555556,113.45555559999998,0.23722222199999998,99.35555556,0.13677777800000002,2017-2018,0.127,CLE,118,15.0,0.5354,0.240133333,0.22746666699999998,0.141933333
1.0,20171120,98.9,0.625,0.2,17,56.52173913,-2.5,0,0.20600000000000002,-130,130.4,0.518125,0.16525,0.2571875,0.1255,130.4,0.526,0.091,0.16699999999999998,98.9,88,108.16666670000001,105.2,0.48466666700000005,0.163333333,0.275666667,93.56666667,0.138666667,106.8111111,109.4111111,0.524111111,0.175111111,0.251111111,95.28888889,0.131333333,0.145,DET,89.0,1,104.16666670000001,0.5093333329999999,0.21666666699999998,109.33333329999999,0.255666667,99.33333333,0.136,113.44444440000001,0.542666667,0.249444444,114.82222220000001,0.23844444399999998,99.31111111,0.135444444,2017-2018,0.11199999999999999,CLE,116,16.0,0.5349375,0.241125,0.22325,0.141
-1.0,20171122,111.3,0.61,0.23199999999999998,18,89.47368421,-11.0,1,0.105,-850,121.6,0.505764706,0.229411765,0.210647059,0.132352941,121.6,0.605,0.136,0.21600000000000003,111.3,109,113.5,111.73333329999998,0.553333333,0.199666667,0.18,101.16666670000001,0.132333333,107.53333329999998,104.4333333,0.5086666670000001,0.21733333300000002,0.19088888899999998,102.57777779999999,0.137666667,0.17800000000000002,BRK,97.9,1,103.4666667,0.554666667,0.215,118.13333329999999,0.231,95.66666667,0.11666666699999999,110.5888889,0.552,0.253555556,117.36666670000001,0.240666667,98.14444444,0.131888889,2017-2018,0.096,CLE,119,17.0,0.540235294,0.23870588199999998,0.22223529399999997,0.139294118
-1.0,20171124,101.5,0.536,0.133,19,69.69696970000001,-5.5,1,0.07,-230,102.5,0.5016666670000001,0.242777778,0.219444444,0.11666666699999999,102.5,0.441,0.17,0.263,101.5,99,107.26666670000002,113.86666670000001,0.509,0.268,0.27899999999999997,97.76666667,0.106,109.25555559999998,108.9777778,0.500888889,0.23622222199999998,0.22788888899999998,97.62222222,0.107444444,0.078,CHO,97.6,1,104.66666670000001,0.587666667,0.229333333,120.1,0.157,95.16666667,0.111666667,109.42222220000001,0.549333333,0.24411111100000002,116.45555559999998,0.227666667,97.88888889,0.128222222,2017-2018,0.11800000000000001,CLE,100,18.0,0.544111111,0.238333333,0.215722222,0.136888889
1.0,20171127,99.1,0.564,0.18600000000000003,20,53.05164319,-2.0,0,0.262,-113,123.1,0.522736842,0.18468421100000001,0.24831578899999998,0.146052632,123.1,0.391,0.16699999999999998,0.386,99.1,91,103.9333333,108.7,0.491333333,0.163,0.286333333,98.56666667,0.11833333300000001,106.75555559999998,108.6,0.518,0.19699999999999998,0.260111111,101.3444444,0.137555556,0.10300000000000001,PHI,91.8,1,103.9,0.590333333,0.18833333300000002,118.16666670000001,0.127,94.83333333,0.108666667,107.9777778,0.554444444,0.23455555600000003,115.34444440000001,0.200666667,97.37777778,0.129222222,2017-2018,0.10400000000000001,CLE,113,19.0,0.543684211,0.232789474,0.208052632,0.135894737
