Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff
CLE,0,1,95,97,0,20151027,CHI,0.452,0.09,0.21600000000000005,0.106,99.5,95.5,97.5,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,,,,,,,,,,,,,,
CLE,0,2,106,76,1,20151028,MEM,0.565,0.172,0.293,0.131,95.7,110.8,79.4,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,,,,,,,,,,,,,,
CLE,1,3,102,92,1,20151030,MIA,0.488,0.104,0.304,0.209,91.0,112.1,101.1,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,,,,,,,,,,,,,,
CLE,0,4,107,100,1,20151102,PHI,0.568,0.151,0.2,0.185,96.9,110.4,103.2,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,0.5016666666666666,0.122,0.27099999999999996,0.14866666666666664,95.39999999999999,106.13333333333333,92.66666666666667,,,,,,,
CLE,1,5,96,86,1,20151104,NYK,0.44,0.102,0.225,0.27699999999999997,93.3,102.9,92.2,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,0.5403333333333333,0.14233333333333334,0.2656666666666666,0.17500000000000002,94.53333333333335,111.09999999999998,94.56666666666666,,,,,,,
CLE,1,6,108,102,1,20151106,PHI,0.568,0.154,0.262,0.091,95.9,112.6,106.4,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,0.49866666666666665,0.11900000000000001,0.24299999999999997,0.22366666666666668,93.73333333333335,108.46666666666664,98.83333333333333,,,,,,,
CLE,1,7,101,97,1,20151108,IND,0.506,0.096,0.239,0.205,91.4,110.6,106.2,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,0.5253333333333333,0.13566666666666669,0.22899999999999995,0.18433333333333335,95.36666666666667,108.63333333333328,100.59999999999998,,,,,,,
CLE,1,8,118,114,1,20151110,UTA,0.574,0.147,0.314,0.446,94.1,125.4,121.2,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,0.5046666666666666,0.11733333333333333,0.2419999999999999,0.19099999999999998,93.53333333333335,108.69999999999997,101.59999999999998,,,,,,,
CLE,0,9,90,84,1,20151113,NYK,0.462,0.116,0.25,0.231,90.2,99.8,93.1,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,0.5493333333333332,0.13233333333333333,0.2716666666666666,0.24733333333333332,93.80000000000001,116.19999999999997,111.26666666666665,,,,,,,
CLE,0,10,105,108,0,20151114,MIL,0.484,0.163,0.28,0.187,87.4,99.4,102.3,0.530333333333333,0.12833333333333333,0.20033333333333325,0.2656666666666668,96.63333333333333,112.36666666666667,107.53333333333335,0.5139999999999999,0.11966666666666666,0.26766666666666666,0.294,91.90000000000002,111.93333333333332,106.83333333333333,,,,,,,
