Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff
WAS,1,42,111,76,1,20150119,PHI,0.599,0.198,0.39399999999999996,0.173,96.5,115.0,78.7
WAS,1,43,103,105,0,20150121,OKC,0.415,0.075,0.22,0.2,96.4,96.7,98.6
WAS,0,44,96,103,0,20150124,POR,0.518,0.12,0.053,0.134,97.4,98.6,105.8
WAS,0,45,117,115,1,20150125,DEN,0.556,0.145,0.244,0.189,95.0,111.5,109.6
WAS,0,46,98,92,1,20150127,LAL,0.513,0.151,0.231,0.231,95.4,102.7,96.5
WAS,0,47,98,106,0,20150128,PHO,0.466,0.11699999999999999,0.306,0.182,94.6,103.6,112.1
WAS,1,48,116,120,0,20150131,TOR,0.532,0.185,0.3,0.405,94.5,111.2,115.0
WAS,1,49,88,92,0,20150202,CHO,0.444,0.11800000000000001,0.217,0.198,90.1,97.7,102.2
WAS,0,50,96,105,0,20150204,ATL,0.468,0.11699999999999999,0.11900000000000001,0.312,95.7,100.3,109.8
WAS,0,51,87,94,0,20150205,CHO,0.446,0.11599999999999999,0.191,0.143,89.9,96.8,104.6
WAS,1,52,114,77,1,20150207,BRK,0.557,0.126,0.39,0.195,90.9,125.4,84.7
WAS,1,53,96,80,1,20150209,ORL,0.474,0.184,0.342,0.299,91.4,105.0,87.5
WAS,0,54,93,95,0,20150211,TOR,0.488,0.14800000000000002,0.349,0.118,89.9,103.5,105.7
WAS,1,55,89,127,0,20150220,CLE,0.448,0.154,0.273,0.14,97.6,91.2,130.2
WAS,0,56,89,106,0,20150222,DET,0.471,0.11599999999999999,0.244,0.106,90.9,97.9,116.6
WAS,1,57,107,114,0,20150224,GSW,0.563,0.228,0.265,0.228,102.0,105.0,111.8
WAS,0,58,77,97,0,20150225,MIN,0.402,0.17300000000000001,0.18899999999999997,0.08,97.5,79.0,99.5
WAS,0,59,81,89,0,20150227,PHI,0.344,0.11199999999999999,0.24100000000000002,0.183,96.9,83.6,91.8
WAS,1,60,99,95,1,20150228,DET,0.519,0.11900000000000001,0.27899999999999997,0.231,91.1,108.6,104.2
WAS,0,61,92,97,0,20150303,CHI,0.464,0.106,0.213,0.167,92.5,99.4,104.8
WAS,1,62,99,97,1,20150306,MIA,0.506,0.14300000000000002,0.256,0.195,92.0,107.6,105.5
WAS,0,63,85,91,0,20150307,MIL,0.438,0.158,0.292,0.173,90.6,93.8,100.4
WAS,0,64,95,69,1,20150309,CHO,0.529,0.13,0.21600000000000003,0.059,90.7,104.7,76.1
WAS,1,65,107,87,1,20150312,MEM,0.531,0.122,0.27,0.275,95.4,112.1,91.2
WAS,1,66,113,97,1,20150314,SAC,0.611,0.128,0.265,0.173,91.4,123.7,106.2
WAS,1,67,105,97,1,20150316,POR,0.543,0.06,0.15,0.195,91.6,114.6,105.9
WAS,0,68,88,84,1,20150318,UTA,0.571,0.223,0.214,0.254,86.1,102.2,97.5
WAS,0,69,99,113,0,20150320,LAC,0.465,0.086,0.174,0.221,96.1,103.1,117.6
WAS,0,70,86,109,0,20150322,SAC,0.42,0.14400000000000002,0.348,0.149,94.9,90.6,114.8
WAS,0,71,76,107,0,20150323,GSW,0.352,0.106,0.10400000000000001,0.235,94.4,80.5,113.3
WAS,1,72,101,103,0,20150325,IND,0.473,0.098,0.15,0.4,95.2,106.1,108.2
WAS,1,73,110,107,1,20150327,CHO,0.429,0.115,0.25,0.115,98.1,92.8,90.2
WAS,1,74,91,99,0,20150329,HOU,0.413,0.157,0.22899999999999998,0.387,95.7,95.1,103.5
WAS,1,75,106,93,1,20150401,PHI,0.605,0.157,0.281,0.184,93.4,113.5,99.6
WAS,1,76,101,87,1,20150403,NYK,0.5,0.10099999999999999,0.267,0.086,93.1,108.5,93.5
WAS,0,77,92,83,1,20150404,MEM,0.532,0.152,0.158,0.101,91.9,100.1,90.3
WAS,0,78,119,90,1,20150408,PHI,0.708,0.146,0.24,0.236,88.9,133.9,101.3
