Team,Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp EFG,Opp TOV,Opp ORB,Opp FTR,Opp Pace,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff,Rolling5EFG,Rolling5TOV,Rolling5ORB,Rolling5FTR,Rolling5Pace,Rolling5OEff,Rolling5DEff,Opp R5EFG,Opp R5TOV,Opp R5ORB,Opp R5FTR,Opp R5Pace,Opp R5 OEff,Opp R5 DEff,Rolling7EFG,Rolling7TOV,Rolling7ORB,Rolling7FTR,Rolling7Pace,Rolling7OEff,Rolling7DEff,Opp R7EFG,Opp R7TOV,Opp R7ORB,Opp R7FTR,Opp R7Pace,Opp R7 OEff,Opp R7 DEff,Odds,Line,Cover,delEFG,delTOV,delORB,delFTR,delEff
BRK,1,30,125,118,1,20181214,WAS,0.589,0.084,0.29,0.31,97.0,128.9,121.7,0.606,0.085,0.1,0.1,97.0,121.7,128.9,0.5513333333333335,0.139,0.2663333333333333,0.2540000000000001,98.23333333333336,113.4666666666667,109.39999999999998,0.5236666666666668,0.10466666666666664,0.16066666666666662,0.18399999999999994,96.1666666666667,109.5,119.3333333333334,0.5230000000000001,0.12059999999999993,0.2561999999999998,0.22399999999999992,97.69999999999996,111.17999999999998,109.57999999999996,0.5334000000000001,0.10560000000000004,0.18380000000000016,0.1868,99.08,112.24,114.98,0.5095714285714287,0.12700000000000006,0.2512857142857142,0.2332857142857141,96.71428571428574,108.5,110.2142857142857,0.5261428571428572,0.11257142857142856,0.1632857142857142,0.17999999999999994,99.38571428571429,108.78571428571428,112.07142857142857,-123.0,-1.5,1.0,-4.600000000000004,-11.3,0.10000000000000009,12.700000000000003,8.700000000000003
BRK,1,31,144,127,1,20181216,ATL,0.648,0.113,0.28600000000000003,0.341,101.2,142.2,125.4,0.635,0.127,0.21600000000000005,0.224,101.2,125.4,142.2,0.5826666666666668,0.113,0.25833333333333325,0.3266666666666668,98.36666666666667,123.33333333333336,117.16666666666664,0.515,0.17333333333333326,0.28300000000000003,0.15299999999999994,104.8,102.16666666666669,108.53333333333336,0.5520000000000002,0.12499999999999993,0.2555999999999998,0.2677999999999999,98.83999999999996,115.71999999999996,112.23999999999997,0.5146000000000001,0.16219999999999998,0.2482000000000001,0.1818,106.1,103.49999999999996,113.07999999999996,0.5177142857142858,0.12042857142857145,0.2578571428571428,0.2395714285714285,97.35714285714286,110.92857142857142,110.84285714285713,0.4972857142857144,0.16199999999999995,0.2565714285714285,0.1768571428571428,106.0,101.32857142857141,112.07142857142854,-340.0,-8.0,1.0,3.9999999999999982,-1.7000000000000002,-4.300000000000001,12.4,15.700000000000003
BRK,1,32,115,110,1,20181218,LAL,0.56,0.1,0.091,0.14300000000000002,104.4,110.1,105.3,0.539,0.12300000000000001,0.182,0.14400000000000002,104.4,105.3,110.1,0.6150000000000001,0.11466666666666665,0.2606666666666665,0.3836666666666668,99.86666666666667,132.13333333333335,123.13333333333328,0.5843333333333335,0.14200000000000002,0.2126666666666668,0.16100000000000006,103.56666666666663,112.76666666666668,114.66666666666669,0.5782000000000002,0.12279999999999992,0.2749999999999998,0.2826,98.57999999999996,122.29999999999997,115.05999999999996,0.5624000000000001,0.13679999999999998,0.2602,0.14179999999999998,100.99999999999993,112.74,108.48000000000003,0.5502857142857144,0.11428571428571432,0.2652857142857142,0.25299999999999995,98.10000000000002,118.14285714285714,113.57142857142857,0.5548571428571429,0.1224285714285714,0.2344285714285715,0.16285714285714278,101.82857142857144,113.65714285714287,111.30000000000004,110.0,2.0,1.0,13.5,11.400000000000006,-4.200000000000001,0.49999999999999767,2.0
BRK,0,33,96,93,1,20181219,CHI,0.514,0.133,0.18899999999999997,0.27,90.7,105.8,102.5,0.473,0.077,0.191,0.077,90.7,102.5,105.8,0.5990000000000001,0.09899999999999998,0.22233333333333324,0.2646666666666668,100.86666666666667,127.06666666666666,117.46666666666664,0.5026666666666668,0.1506666666666666,0.16933333333333325,0.17766666666666667,96.03333333333336,99.13333333333328,107.60000000000002,0.5912000000000002,0.1103999999999999,0.2303999999999998,0.29279999999999995,100.13999999999996,124.45999999999997,116.43999999999996,0.4856,0.16940000000000005,0.17,0.16299999999999998,95.9,94.11999999999998,115.18,0.566857142857143,0.11971428571428573,0.2364285714285713,0.2604285714285713,99.97142857142859,118.69999999999996,113.12857142857142,0.4968571428571424,0.16899999999999996,0.17200000000000007,0.15185714285714275,97.95714285714287,95.4142857142857,111.05714285714285,-130.0,-2.5,1.0,-6.4,-4.3,0.49999999999999767,-20.8,-4.599999999999994
BRK,1,34,106,114,0,20181221,IND,0.569,0.187,0.324,0.333,92.8,114.3,122.9,0.604,0.109,0.16699999999999998,0.183,92.8,122.9,114.3,0.574,0.1153333333333333,0.18866666666666654,0.25133333333333346,98.76666666666668,119.36666666666667,111.06666666666662,0.4930000000000001,0.12866666666666665,0.2486666666666667,0.16166666666666665,95.63333333333333,103.43333333333334,101.0333333333333,0.5838000000000001,0.1153999999999999,0.21239999999999984,0.3128,98.93999999999996,122.45999999999997,115.43999999999996,0.5001999999999999,0.11720000000000005,0.2588,0.17420000000000005,96.63999999999996,108.11999999999998,100.98000000000006,0.5664285714285716,0.121,0.2364285714285713,0.2608571428571428,98.28571428571432,118.19999999999996,111.87142857142858,0.5119999999999998,0.13242857142857142,0.25999999999999995,0.18600000000000005,97.32857142857144,108.39999999999996,100.6857142857143,115.0,2.0,-1.0,-3.600000000000003,3.9999999999999996,-7.799999999999999,9.8,-8.099999999999994
BRK,1,35,111,103,1,20181223,PHO,0.529,0.146,0.311,0.247,98.3,112.9,104.7,0.5,0.111,0.222,0.157,98.3,104.7,112.9,0.5476666666666666,0.14,0.20133333333333325,0.2486666666666668,95.96666666666668,110.06666666666668,110.2333333333333,0.527,0.09999999999999994,0.2930000000000001,0.21833333333333327,97.73333333333322,119.3666666666666,111.66666666666671,0.5760000000000001,0.12339999999999993,0.23599999999999985,0.2794,97.21999999999998,120.25999999999996,115.55999999999996,0.5088,0.10940000000000004,0.2764000000000001,0.1992,98.25999999999996,113.2,104.93999999999998,0.5770000000000001,0.12457142857142856,0.2378571428571428,0.29528571428571426,97.74285714285715,120.34285714285713,115.37142857142858,0.5061428571428572,0.11942857142857136,0.2562857142857142,0.18742857142857144,97.51428571428572,109.79999999999998,108.17142857142856,-325.0,-7.5,1.0,0.0,10.700000000000001,4.800000000000002,8.399999999999999,-9.0
BRK,1,36,134,132,1,20181226,CHO,0.5820000000000001,0.132,0.196,0.125,97.3,113.9,112.2,0.514,0.098,0.203,0.217,97.3,112.2,113.9,0.5373333333333332,0.15533333333333332,0.27466666666666656,0.2833333333333335,93.93333333333337,111.0,110.0333333333333,0.5206666666666668,0.11633333333333327,0.2566666666666665,0.1826666666666665,93.23333333333342,111.2333333333333,108.33333333333336,0.5640000000000001,0.13579999999999992,0.24019999999999986,0.2667999999999999,97.47999999999998,117.05999999999996,112.15999999999997,0.5186000000000003,0.1266,0.2283999999999999,0.15780000000000008,97.20000000000002,107.99999999999993,111.91999999999996,0.573857142857143,0.13,0.2424285714285713,0.3062857142857142,97.97142857142859,119.92857142857142,114.97142857142859,0.5157142857142857,0.11514285714285713,0.204142857142857,0.19914285714285712,98.2142857142857,109.29999999999997,110.29999999999997,-130.0,-1.0,1.0,-3.300000000000003,2.799999999999997,0.0,13.3,-2.200000000000003
BRK,0,37,87,100,0,20181228,CHO,0.422,0.132,0.196,0.205,95.8,90.8,104.3,0.465,0.071,0.235,0.07,95.8,104.3,90.8,0.5599999999999999,0.155,0.27699999999999986,0.2350000000000001,96.13333333333335,113.7,113.26666666666664,0.5036666666666668,0.11199999999999996,0.2259999999999999,0.2333333333333332,94.73333333333342,109.13333333333333,110.7666666666667,0.5508,0.13959999999999992,0.2221999999999998,0.22359999999999994,96.69999999999996,111.39999999999996,109.51999999999998,0.5076000000000003,0.12,0.2297999999999999,0.1856000000000001,96.6,108.03999999999996,111.93999999999996,0.5701428571428572,0.12785714285714286,0.2409999999999999,0.2527142857142857,97.38571428571429,118.29999999999997,113.52857142857144,0.5102857142857142,0.1137142857142857,0.21114285714285705,0.19242857142857145,97.42857142857142,108.79999999999997,111.69999999999996,170.0,4.5,-1.0,-2.200000000000002,2.400000000000001,0.899999999999998,-12.399999999999999,-5.400000000000006
BRK,0,38,115,129,0,20181229,MIL,0.5760000000000001,0.129,0.128,0.304,103.6,111.0,124.5,0.599,0.08800000000000001,0.125,0.146,103.6,124.5,111.0,0.511,0.13666666666666666,0.23433333333333314,0.19233333333333347,97.13333333333335,105.86666666666666,107.06666666666663,0.4723333333333334,0.11233333333333327,0.1633333333333333,0.2103333333333333,101.76666666666678,100.73333333333339,93.36666666666667,0.5232,0.14599999999999996,0.2431999999999998,0.236,94.97999999999998,107.53999999999996,109.31999999999998,0.5224000000000001,0.128,0.19759999999999991,0.23759999999999995,101.65999999999998,108.33999999999996,99.75999999999992,0.5462857142857144,0.13471428571428573,0.22757142857142845,0.2377142857142857,97.21428571428572,112.85714285714279,111.04285714285713,0.5217142857142855,0.11628571428571426,0.19828571428571432,0.2194285714285715,100.5,109.72857142857141,101.39999999999996,550.0,11.0,-1.0,-7.599999999999996,1.9000000000000017,-1.8000000000000016,1.6000000000000014,-14.900000000000006
BRK,1,39,126,121,1,20190102,NOP,0.591,0.08900000000000001,0.27899999999999997,0.172,98.4,128.1,123.0,0.586,0.10800000000000001,0.244,0.218,98.4,123.0,128.1,0.5266666666666667,0.13099999999999998,0.17333333333333312,0.21133333333333348,98.90000000000003,105.2333333333333,113.66666666666664,0.5239999999999997,0.11699999999999999,0.3036666666666668,0.19600000000000006,96.53333333333336,117.89999999999992,115.36666666666665,0.5356,0.14519999999999994,0.2309999999999998,0.2428,97.55999999999996,108.57999999999996,113.71999999999998,0.5210000000000001,0.10799999999999996,0.2614000000000002,0.21780000000000005,99.61999999999998,116.06000000000002,116.08,0.536,0.13699999999999998,0.20499999999999988,0.2324285714285714,97.55714285714285,108.39999999999996,110.91428571428571,0.521,0.11014285714285713,0.24542857142857105,0.1822857142857144,100.87142857142858,112.98571428571428,115.21428571428572,-103.0,1.0,1.0,5.900000000000006,9.700000000000001,-13.600000000000001,-13.200000000000001,-12.299999999999997
