date,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
10/23/2019,CLE,24,17,24,20,0,85,ORL,28,27,16,23,0,94
10/26/2019,IND,28,20,26,25,0,99,CLE,26,39,25,20,0,110
10/28/2019,CLE,31,21,28,32,0,112,MIL,30,29,32,38,0,129
10/30/2019,CHI,26,27,29,29,0,111,CLE,25,25,30,37,0,117
11/1/2019,CLE,26,11,24,34,0,95,IND,19,23,26,34,0,102
11/3/2019,DAL,31,27,32,41,0,131,CLE,28,25,33,25,0,111
11/5/2019,BOS,32,29,28,30,0,119,CLE,24,28,31,30,0,113
11/8/2019,CLE,30,37,21,25,0,113,WAS,26,26,32,16,0,100
11/10/2019,CLE,31,23,24,30,0,108,NYK,19,17,27,24,0,87
11/12/2019,CLE,21,27,30,19,0,97,PHI,24,30,28,16,0,98
11/14/2019,MIA,34,34,26,14,0,108,CLE,22,22,30,23,0,97
11/17/2019,PHI,33,35,27,19,0,114,CLE,22,22,25,26,0,95
11/18/2019,CLE,20,31,20,34,0,105,NYK,32,32,30,29,0,123
11/20/2019,CLE,22,26,29,23,0,100,MIA,32,43,24,25,0,124
11/22/2019,CLE,26,16,29,30,0,101,DAL,29,37,45,32,0,143
11/23/2019,POR,19,23,27,35,0,104,CLE,19,30,27,34,0,110
11/25/2019,BRK,25,27,29,27,0,108,CLE,26,25,24,31,0,106
11/27/2019,ORL,27,32,28,29,0,116,CLE,27,25,21,31,0,104
11/29/2019,MIL,38,29,32,20,0,119,CLE,29,18,42,21,0,110
12/3/2019,DET,32,30,35,30,0,127,CLE,28,18,22,26,0,94
12/6/2019,ORL,24,28,16,25,0,93,CLE,25,22,23,17,0,87
12/7/2019,CLE,18,18,26,32,0,94,PHI,36,41,31,33,0,141
12/9/2019,CLE,18,22,26,22,0,88,BOS,29,24,30,27,0,110
12/11/2019,HOU,35,29,24,28,0,116,CLE,29,28,25,28,0,110
12/12/2019,CLE,28,25,25,25,14,117,SAS,19,24,25,35,6,109
12/14/2019,CLE,20,31,28,29,0,108,MIL,26,43,33,23,0,125
12/16/2019,CLE,29,25,30,29,0,113,TOR,37,29,38,29,0,133
12/18/2019,CHO,21,20,23,34,0,98,CLE,29,24,23,24,0,100
12/20/2019,MEM,27,24,36,20,0,107,CLE,25,30,26,33,0,114
12/23/2019,ATL,32,32,30,24,0,118,CLE,42,29,23,27,0,121
12/27/2019,CLE,22,25,34,36,0,117,BOS,33,29,30,37,0,129
12/28/2019,CLE,27,22,18,27,0,94,MIN,21,22,17,28,0,88
12/31/2019,CLE,25,18,26,28,0,97,TOR,27,32,27,31,0,117
1/2/2020,CHO,31,21,30,27,0,109,CLE,29,30,26,21,0,106
1/4/2020,OKC,34,32,25,30,0,121,CLE,27,26,26,27,0,106
1/5/2020,MIN,24,42,28,24,0,118,CLE,20,28,31,24,0,103
1/7/2020,DET,27,27,30,31,0,115,CLE,29,38,28,18,0,113
1/9/2020,CLE,26,24,31,21,13,115,DET,32,29,22,19,10,112
1/11/2020,CLE,23,28,34,26,0,111,DEN,18,24,29,32,0,103
1/13/2020,CLE,27,21,22,29,0,99,LAL,21,26,37,44,0,128
1/14/2020,CLE,26,24,21,32,0,103,LAC,31,35,40,22,0,128
1/17/2020,CLE,25,31,20,33,0,109,MEM,27,27,38,21,0,113
1/18/2020,CLE,33,40,29,14,0,116,CHI,31,25,31,31,0,118
1/20/2020,NYK,26,23,30,27,0,106,CLE,26,24,14,22,0,86
1/23/2020,WAS,29,39,32,24,0,124,CLE,24,37,25,26,0,112
1/25/2020,CHI,25,34,40,19,0,118,CLE,31,26,19,30,0,106
1/27/2020,CLE,24,29,36,26,0,115,DET,23,22,27,28,0,100
1/28/2020,NOP,40,34,30,21,0,125,CLE,34,31,25,21,0,111
1/30/2020,TOR,31,25,32,27,0,115,CLE,26,26,24,33,0,109
2/1/2020,GSW,31,30,44,26,0,131,CLE,32,27,19,34,0,112
2/3/2020,NYK,33,30,32,32,12,139,CLE,37,25,38,27,7,134
2/5/2020,CLE,28,25,28,22,0,103,OKC,29,32,23,25,0,109
2/9/2020,LAC,36,37,34,26,0,133,CLE,21,29,23,19,0,92
2/12/2020,ATL,19,29,32,25,0,105,CLE,33,32,33,29,0,127
2/21/2020,CLE,32,29,20,32,0,113,WAS,41,25,21,21,0,108
2/22/2020,CLE,32,20,26,27,0,105,MIA,38,44,24,18,0,124
2/24/2020,MIA,29,39,31,12,8,119,CLE,21,35,24,31,14,125
2/26/2020,PHI,17,27,24,26,0,94,CLE,28,27,22,31,0,108
2/28/2020,CLE,25,30,28,21,0,104,NOP,43,27,25,21,0,116
2/29/2020,IND,30,26,30,27,0,113,CLE,31,27,28,18,0,104
10/23/2019,BOS,25,23,20,25,0,93,PHI,20,29,28,30,0,107
10/25/2019,TOR,21,28,33,24,0,106,BOS,22,28,26,36,0,112
10/26/2019,BOS,22,24,36,36,0,118,NYK,24,27,25,19,0,95
10/30/2019,MIL,34,24,18,29,0,105,BOS,19,23,38,36,0,116
11/1/2019,NYK,23,27,24,28,0,102,BOS,22,27,26,29,0,104
11/5/2019,BOS,32,29,28,30,0,119,CLE,24,28,31,30,0,113
11/7/2019,BOS,30,22,33,23,0,108,CHO,20,23,24,20,0,87
11/9/2019,BOS,39,33,32,31,0,135,SAS,30,24,37,24,0,115
11/11/2019,DAL,21,33,25,27,0,106,BOS,25,29,30,32,0,116
