date,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
2019-10-28,CHI,33.0,19.0,28.0,18.0,0.0,98.0,NYK,15.0,27.0,30.0,33.0,0.0,105.0
2019-10-28,UTA,28.0,18.0,24.0,26.0,0.0,96.0,PHO,21.0,18.0,31.0,25.0,0.0,95.0
2019-10-29,MEM,32.0,15.0,20.0,24.0,0.0,91.0,LAL,27.0,22.0,39.0,32.0,0.0,120.0
2019-10-29,DAL,27.0,33.0,23.0,26.0,0.0,109.0,DEN,31.0,30.0,27.0,18.0,0.0,106.0
2019-10-29,ATL,26.0,23.0,21.0,27.0,0.0,97.0,MIA,29.0,30.0,29.0,24.0,0.0,112.0
2019-10-30,DET,28.0,30.0,27.0,28.0,0.0,113.0,TOR,37.0,27.0,37.0,24.0,0.0,125.0
2019-10-30,POR,24.0,25.0,19.0,34.0,0.0,102.0,OKC,17.0,27.0,25.0,30.0,0.0,99.0
2019-10-30,CHO,30.0,31.0,32.0,25.0,0.0,118.0,SAC,33.0,33.0,18.0,27.0,0.0,111.0
2019-10-30,MIL,34.0,24.0,18.0,29.0,0.0,105.0,BOS,19.0,23.0,38.0,36.0,0.0,116.0
2019-10-30,PHO,43.0,29.0,23.0,26.0,0.0,121.0,GSW,14.0,32.0,21.0,43.0,0.0,110.0
2019-10-30,NYK,25.0,19.0,23.0,16.0,0.0,83.0,ORL,22.0,20.0,30.0,23.0,0.0,95.0
2019-10-30,LAC,23.0,28.0,20.0,25.0,0.0,96.0,UTA,33.0,19.0,38.0,20.0,0.0,110.0
2019-10-30,IND,31.0,29.0,30.0,28.0,0.0,118.0,BRK,31.0,32.0,20.0,25.0,0.0,108.0
2019-10-30,MIN,24.0,19.0,35.0,17.0,0.0,95.0,PHI,32.0,30.0,30.0,25.0,0.0,117.0
2019-10-30,CHI,26.0,27.0,29.0,29.0,0.0,111.0,CLE,25.0,25.0,30.0,37.0,0.0,117.0
2019-10-30,HOU,35.0,41.0,35.0,48.0,0.0,159.0,WAS,34.0,43.0,40.0,41.0,0.0,158.0
2019-10-31,MIA,30.0,22.0,33.0,21.0,0.0,106.0,ATL,26.0,20.0,29.0,22.0,0.0,97.0
2019-10-31,DEN,30.0,22.0,23.0,32.0,0.0,107.0,NOP,32.0,24.0,30.0,36.0,0.0,122.0
2019-10-31,SAS,24.0,24.0,27.0,22.0,0.0,97.0,LAC,23.0,27.0,30.0,23.0,0.0,103.0
2019-11-01,CLE,26.0,11.0,24.0,34.0,0.0,95.0,IND,19.0,23.0,26.0,34.0,0.0,102.0
2019-11-01,HOU,33.0,26.0,24.0,33.0,0.0,116.0,BRK,24.0,37.0,34.0,28.0,0.0,123.0
2019-11-01,NYK,23.0,27.0,24.0,28.0,0.0,102.0,BOS,22.0,27.0,26.0,29.0,0.0,104.0
2019-11-01,SAS,29.0,28.0,40.0,30.0,0.0,127.0,GSW,28.0,27.0,31.0,24.0,0.0,110.0
2019-11-01,UTA,18.0,30.0,32.0,21.0,0.0,101.0,SAC,28.0,23.0,30.0,21.0,0.0,102.0
2019-11-01,LAL,20.0,28.0,28.0,27.0,16.0,119.0,DAL,25.0,33.0,27.0,18.0,7.0,110.0
2019-11-01,MIL,31.0,31.0,26.0,35.0,0.0,123.0,ORL,27.0,14.0,30.0,20.0,0.0,91.0
2019-11-01,DET,23.0,29.0,28.0,26.0,0.0,106.0,CHI,30.0,27.0,29.0,26.0,0.0,112.0
2019-11-02,PHI,27.0,30.0,35.0,37.0,0.0,129.0,POR,32.0,36.0,34.0,26.0,0.0,128.0
2019-11-02,TOR,17.0,33.0,40.0,15.0,0.0,105.0,MIL,36.0,30.0,29.0,20.0,0.0,115.0
2019-11-02,MIN,42.0,28.0,36.0,25.0,0.0,131.0,WAS,34.0,22.0,16.0,37.0,0.0,109.0
2019-11-02,CHO,25.0,25.0,18.0,25.0,0.0,93.0,GSW,30.0,25.0,16.0,16.0,0.0,87.0
2019-11-02,BRK,26.0,28.0,18.0,37.0,0.0,109.0,DET,33.0,13.0,32.0,35.0,0.0,113.0
2019-11-02,DEN,17.0,23.0,29.0,22.0,0.0,91.0,ORL,26.0,19.0,18.0,24.0,0.0,87.0
2019-11-02,PHO,31.0,14.0,37.0,32.0,0.0,114.0,MEM,24.0,23.0,22.0,36.0,0.0,105.0
2019-11-02,NOP,26.0,34.0,26.0,18.0,0.0,104.0,OKC,33.0,32.0,29.0,21.0,0.0,115.0
2019-11-03,HOU,14.0,32.0,25.0,29.0,0.0,100.0,MIA,46.0,25.0,28.0,30.0,0.0,129.0
2019-11-03,LAL,26.0,30.0,21.0,26.0,0.0,103.0,SAS,25.0,18.0,29.0,24.0,0.0,96.0
2019-11-03,CHI,18.0,24.0,32.0,21.0,0.0,95.0,IND,24.0,31.0,31.0,22.0,0.0,108.0
2019-11-03,SAC,32.0,29.0,29.0,23.0,0.0,113.0,NYK,23.0,18.0,23.0,28.0,0.0,92.0
2019-11-03,DAL,31.0,27.0,32.0,41.0,0.0,131.0,CLE,28.0,25.0,33.0,25.0,0.0,111.0
2019-11-03,UTA,20.0,21.0,28.0,25.0,0.0,94.0,LAC,16.0,23.0,26.0,40.0,0.0,105.0
2019-11-04,DET,30.0,31.0,17.0,21.0,0.0,99.0,WAS,31.0,32.0,30.0,22.0,0.0,115.0
2019-11-04,PHI,31.0,30.0,21.0,27.0,0.0,109.0,PHO,29.0,26.0,26.0,33.0,0.0,114.0
2019-11-04,MIL,31.0,33.0,38.0,32.0,0.0,134.0,MIN,27.0,30.0,25.0,24.0,0.0,106.0
2019-11-04,POR,32.0,31.0,20.0,35.0,0.0,118.0,GSW,34.0,26.0,27.0,40.0,0.0,127.0
2019-11-04,HOU,33.0,29.0,22.0,23.0,0.0,107.0,MEM,28.0,32.0,16.0,24.0,0.0,100.0
2019-11-04,NOP,27.0,23.0,48.0,27.0,0.0,125.0,BRK,33.0,34.0,37.0,31.0,0.0,135.0
2019-11-05,MIA,28.0,20.0,21.0,20.0,0.0,89.0,DEN,29.0,29.0,31.0,20.0,0.0,109.0
2019-11-05,IND,35.0,29.0,28.0,21.0,7.0,120.0,CHO,20.0,37.0,21.0,35.0,9.0,122.0
2019-11-05,SAS,21.0,24.0,33.0,22.0,0.0,100.0,ATL,22.0,22.0,26.0,38.0,0.0,108.0
2019-11-05,ORL,26.0,27.0,26.0,15.0,0.0,94.0,OKC,31.0,27.0,23.0,21.0,0.0,102.0
2019-11-05,BOS,32.0,29.0,28.0,30.0,0.0,119.0,CLE,24.0,28.0,31.0,30.0,0.0,113.0
2019-11-05,LAL,24.0,24.0,32.0,38.0,0.0,118.0,CHI,29.0,36.0,28.0,19.0,0.0,112.0
2019-11-06,CHI,33.0,23.0,35.0,22.0,0.0,113.0,ATL,19.0,22.0,24.0,28.0,0.0,93.0
2019-11-06,MIN,26.0,38.0,32.0,25.0,0.0,121.0,MEM,37.0,35.0,29.0,36.0,0.0,137.0
2019-11-06,ORL,28.0,28.0,23.0,27.0,0.0,106.0,DAL,25.0,29.0,32.0,21.0,0.0,107.0
2019-11-06,NYK,25.0,34.0,26.0,17.0,0.0,102.0,DET,33.0,31.0,32.0,26.0,0.0,122.0
2019-11-06,PHI,29.0,27.0,17.0,31.0,0.0,104.0,UTA,26.0,32.0,26.0,22.0,0.0,106.0
2019-11-06,SAC,23.0,35.0,30.0,32.0,0.0,120.0,TOR,36.0,30.0,29.0,29.0,0.0,124.0
2019-11-06,GSW,29.0,23.0,31.0,29.0,0.0,112.0,HOU,30.0,33.0,35.0,31.0,0.0,129.0
2019-11-06,WAS,26.0,36.0,18.0,26.0,0.0,106.0,IND,26.0,44.0,24.0,27.0,0.0,121.0
