Team,Spread,Date
PHO,+3½,20170806
WAS,-3½,20170806
LAS,-7½,20170806
DAL,+7½,20170806
MIN,-12½,20170806
IND,+12½,20170806
LAS,-5½,20170816
WAS,+5½,20170816
MIN,-7,20170816
SEA,+7,20170816
PHO,PK,20170818
WAS,PK,20170818
NYL,+6,20170818
CON,-6,20170818
IND,+15½,20170818
MIN,-15½,20170818
LAS,-7½,20170818
CHI,+7½,20170818
LVA,+10,20170818
SEA,-10,20170818
MIN,-5,20170820
NYL,+5,20170820
PHO,+3½,20170820
CON,-3½,20170820
WAS,-3,20170820
IND,+3,20170820
SEA,+1,20170820
CHI,-1,20170820
CHI,+9,20170825
CON,-9,20170825
MIN,-12½,20170825
LVA,+12½,20170825
WAS,+3½,20170825
NYL,-3½,20170825
CON,-2,20170829
WAS,+2,20170829
CON,+4,20170520
IND,-4,20170520
MIN,-8,20170520
DAL,+8,20170520
CON,+12,20170523
MIN,-12,20170523
NYL,+1½,20170523
PHO,-1½,20170523
CON,+4,20170528
CHI,-4,20170528
IND,+5½,20170528
SEA,-5½,20170528
LVA,+12½,20170528
MIN,-12½,20170528
DAL,+3,20170603
IND,-3,20170603
CON,-2½,20170603
LVA,+2½,20170603
MIN,-3½,20170603
SEA,+3½,20170603
NYL,+1½,20170614
CON,-1½,20170614
CON,+11½,20170617
MIN,-11½,20170617
CON,-2,20170701
IND,+2,20170701
SEA,+2,20170701
DAL,-2,20170701
CON,+6½,20170713
LAS,-6½,20170713
PHO,-5,20170601
CHI,+5,20170601
NYL,+1,20170616
DAL,-1,20170616
CHI,+10,20170616
PHO,-10,20170616
IND,-1½,20170628
CHI,+1½,20170628
CHI,+12½,20170720
LAS,-12½,20170720
IND,-2,20170720
LVA,+2,20170720
DAL,-3,20170810
PHO,+3,20170810
LVA,+7,20170810
CHI,-7,20170810
CHI,+7½,20170827
NYL,-7½,20170827
MIN,+2,20170827
LAS,-2,20170827
PHO,+2½,20170827
SEA,-2½,20170827
MIN,-14½,20170830
IND,+14½,20170830
DAL,+2,20170830
CHI,-2,20170830
MIN,-4½,20170518
NYL,+4½,20170518
LAS,-4,20170530
NYL,+4,20170530
IND,+3½,20170530
DAL,-3½,20170530
DAL,+2½,20170602
NYL,-2½,20170602
LAS,+6½,20170706
MIN,-6½,20170706
NYL,+2,20170706
SEA,-2,20170706
NYL,-9,20170801
LVA,+9,20170801
LAS,-2,20170813
NYL,+2,20170813
IND,+5,20170517
PHO,-5,20170517
LAS,-6½,20170624
IND,+6½,20170624
IND,+15½,20170717
LAS,-15½,20170717
LVA,+2,20170902
IND,-2,20170902
PHO,+8,20170822
MIN,-8,20170822
LVA,+14½,20170822
LAS,-14½,20170822
LAS,-2½,20170824
PHO,+2½,20170824
DAL,-3,20170525
LVA,+3,20170525
LVA,+6½,20170621
DAL,-6½,20170621
