Team,Opp,Game Num,Date,Team Score,Opp Score,Result,Location,TSP,TOV,ORB,FTR,Poss,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff
ATL,DAL,1,2019-05-24,76,72,1,1,0.5015839493136219,0.16527104451300131,0.24242424242424243,0.2857142857142857,79.4496,95.65812792009022,90.62348960850652,0.4442250740375123,0.15618492294877134,0.425,0.16216216216216217,75.8784,94.88866396761134,100.16025641025641
ATL,SEA,2,2019-05-31,66,82,0,1,0.41687721071248107,0.15027908973808501,0.20930232558139536,0.1643835616438356,80.7936,81.68963878326997,101.4931875792142,0.5240286298568507,0.11332728921124208,0.18421052631578946,0.2608695652173913,77.9904,105.14114557689152,84.62580009847366
ATL,WAS,3,2019-06-01,75,96,0,0,0.47782874617737003,0.14210756449497158,0.3157894736842105,0.14084507042253522,76.3008,98.29516859587318,125.81781580271767,0.6600660066006601,0.16143911439114392,0.36,0.16417910447761194,74.6112,128.66700977869274,100.52110138960371
ATL,LVA,4,2019-06-06,69,92,0,1,0.429318068690891,0.1572986577181208,0.20454545454545456,0.2222222222222222,82.90559999999999,83.22718851320056,110.96958468426742,0.5690252350321623,0.20620581304006283,0.3333333333333333,0.09210526315789473,86.2464,106.67111902641734,80.00333926981301
ATL,CON,5,2019-06-09,59,65,0,1,0.3954423592493298,0.19438444924406048,0.30952380952380953,0.17647058823529413,76.416,77.20896147403685,85.0607202680067,0.38038389513108617,0.11406055578598093,0.32653061224489793,0.22972972972972974,77.2224,84.17246809215979,76.40270180672967
ATL,DAL,6,2019-06-15,61,71,0,0,0.449057714958775,0.22747952684258416,0.3333333333333333,0.21666666666666667,72.8832,83.69555672637864,97.41613979627678,0.433349609375,0.12776831345826234,0.37777777777777777,0.17567567567567569,73.8432,96.14967932050615,82.60747096550529
ATL,IND,7,2019-06-19,88,78,1,1,0.5632360471070148,0.07132667617689015,0.34375,0.2647058823529412,70.1952,125.36469730123997,111.11870897155362,0.4573170731707317,0.08576329331046312,0.38636363636363635,0.1125,73.22879999999999,106.51546932354485,120.17129872399931
ATL,CON,8,2019-06-21,76,86,0,0,0.4945340968245705,0.11515430677107323,0.16666666666666666,0.1111111111111111,78.5664,96.73346366894754,109.46155099380906,0.5767167381974249,0.13863216266173753,0.2,0.25,76.3776,112.59845818669348,99.50561421149656
ATL,WAS,9,2019-06-23,73,89,0,1,0.48280423280423285,0.13698630136986303,0.35,0.14492753623188406,70.65599999999999,103.31748188405798,125.96240942028987,0.5613017154389506,0.09165902841429881,0.28125,0.14864864864864866,75.1488,118.43169817748255,97.14060637029468
ATL,NYL,10,2019-06-30,58,74,0,1,0.3785900783289817,0.16375545851528386,0.175,0.17142857142857143,81.216,71.41449960598898,91.1150512214342,0.4795230689476413,0.153576129881527,0.30303030303030304,0.15492957746478872,77.91359999999999,94.97700016428456,74.44143256119601
ATL,MIN,11,2019-07-02,68,85,0,0,0.46961325966850825,0.17162471395881007,0.22857142857142856,0.11764705882352941,76.224,89.21074727120067,111.51343408900084,0.543756397134084,0.14260640631856078,0.3793103448275862,0.1388888888888889,76.9536,110.45617099135065,88.36493679308052
ATL,SEA,12,2019-07-05,77,66,1,0,0.5183091007000539,0.16801075268817203,0.3235294117647059,0.15942028985507245,75.1488,102.46337932209164,87.82575370464998,0.4518072289156626,0.20643198609300303,0.3157894736842105,0.16666666666666666,76.83840000000001,85.89455272363817,100.2103115109112
ATL,PHO,13,2019-07-07,63,65,0,0,0.3931602596105841,0.13026487190620928,0.2653061224489796,0.2,75.9552,82.94362992922143,85.5767610380856,0.43379604911906033,0.11775788977861516,0.2857142857142857,0.22388059701492538,70.00319999999999,92.85289815322729,89.99588590235876
ATL,CON,14,2019-07-10,78,75,1,1,0.540765391014975,0.21710811984368214,0.35294117647058826,0.3064516129032258,76.9152,101.41038442336496,97.5099850224663,0.4854997410668048,0.15344147303814118,0.3,0.22058823529411764,76.07039999999999,98.59288238263504,102.53659767794045
ATL,MIN,15,2019-07-12,60,53,1,1,0.39556962025316456,0.13661202185792348,0.35714285714285715,0.11267605633802817,69.9264,85.8045030203185,75.79397766794801,0.3943452380952381,0.15151515151515152,0.2926829268292683,0.06153846153846154,64.512,82.15525793650794,93.00595238095238
ATL,LAS,16,2019-07-14,71,76,0,1,0.41012014787430684,0.11275112751127511,0.35714285714285715,0.25,79.2576,89.5813145994832,95.88985788113696,0.411790203727785,0.05139802631578947,0.3137254901960784,0.11494252873563218,78.0288,97.3999343832021,90.99204396325459
ATL,CHI,17,2019-07-17,76,77,0,0,0.43438500228623683,0.0837871805613741,0.19047619047619047,0.2,83.9808,90.49687547629934,91.68762383782959,0.5033995815899581,0.181857081728712,0.225,0.18840579710144928,81.1008,94.94357638888889,93.71054292929293
WAS,CON,1,2019-05-25,69,84,0,0,0.4389312977099237,0.12276785714285715,0.275,0.16666666666666666,75.45599999999999,91.4440203562341,111.323155216285,0.5111976630963972,0.09872751206669592,0.2972972972972973,0.15789473684210525,76.9536,109.15668662674652,89.66442115768464
WAS,ATL,2,2019-06-01,96,75,1,1,0.6600660066006601,0.16143911439114392,0.36,0.16417910447761194,74.6112,128.66700977869274,100.52110138960371,0.47782874617737003,0.14210756449497158,0.3157894736842105,0.14084507042253522,76.3008,98.29516859587318,125.81781580271767
