Team,Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp EFG,Opp TOV,Opp ORB,Opp FTR,Opp Pace,Opp OEff,Opp DEff,Rolling7EFG,Rolling7TOV,Rolling7ORB,Rolling7FTR,Rolling7Pace,Rolling7OEff,Rolling7DEff,Opp R7EFG,Opp R7TOV,Opp R7ORB,Opp R7FTR,Opp R7Pace,Opp R7 OEff,Opp R7 DEff,delEFG,delTOV,delORB,delFTR,delEff,Rolling10delEFG,Rolling10delTOV,Rolling10delORB,Rolling10delFTR,Rolling10delEff,Opp R10delEFG,Opp R10delTOV,Opp R10delORB,Opp R10delFTR,Opp R10 delEff,Season,Win Pct,Opp Win Pct,Rest,Odds,Line,Cover,Opp Rest,DecimalOdds,Implied Odds,SeasonEFG,SeasonTOV,SeasonORB,SeasonFTR,SeasonPace,SeasonOEff,SeasonDEff,Margin,Rolling7EFG_delLeague,Rolling7ORB_delLeague,Rolling7TOV_delLeague,Rolling7FTR_delLeague,Rolling7OEff_delLeague,Rolling7DEff_delLeague,SeasonEFG_delLeague,SeasonORB_delLeague,SeasonTOV_delLeague,SeasonFTR_delLeague,SeasonOEff_delLeague,SeasonDEff_delLeague
CLE,1,1,90,95,0,20141030,NYK,0.521,0.194,0.297,0.243,83.1,108.3,114.3,0.58,0.163,0.29,0.217,83.1,114.3,108.3,,,,,,,,,,,,,,,-5.9,3.1,0.7,2.6,-6.0,,,,,,,,,,,2015,,0.0,,-1000.0,-11.5,-1.0,0.0,1.1,0.9090909090909092,,,,,,,,-5,,,,,,,,,,,,
CLE,0,2,114,108,1,20141031,CHI,0.409,0.071,0.392,0.279,91.5,112.8,106.9,0.528,0.163,0.256,0.14400000000000002,91.5,106.9,112.8,,,,,,,,,,,,,,,-11.9,-9.2,13.6,13.5,5.9,,,,,,,,,,,2015,0.0,1.0,0.0,155.0,4.0,1.0,0.2,2.55,0.3921568627450981,0.521,0.194,0.297,0.243,83.1,108.3,114.3,6,,,,,,,2.4011111111111036,1.8286111111111059,5.708333333333335,0.3063888888888838,0.7633333333333496,6.76333333333335
CLE,0,3,82,101,0,20141104,POR,0.418,0.133,0.25,0.129,88.1,93.0,114.6,0.547,0.113,0.243,0.253,88.1,114.6,93.0,,,,,,,,,,,,,,,-12.9,2.0,0.7,-12.4,-21.6,,,,,,,,,,,2015,0.5,0.3333333333333333,0.6,-140.0,-2.5,-1.0,0.2,1.7142857142857144,0.5833333333333333,0.465,0.1325,0.34450000000000003,0.261,87.3,110.55,110.6,-19,,,,,,,-2.832857142857148,8.236071428571435,-0.19880952380952333,1.4622619047619052,3.892023809523792,3.942023809523789
CLE,0,4,100,102,0,20141105,UTA,0.458,0.118,0.2,0.472,87.1,114.9,117.2,0.552,0.122,0.361,0.221,87.1,117.2,114.9,,,,,,,,,,,,,,,-9.4,-0.4,-16.1,25.1,-2.3,,,,,,,,,,,2015,0.3333333333333333,0.25,0.0,-200.0,-5.0,-1.0,0.2,1.5,0.6666666666666666,0.4493333333333333,0.13266666666666668,0.313,0.217,87.56666666666666,104.7,111.93333333333332,-2,,,,,,,-4.400885416666666,5.052656249999998,-0.1486979166666652,-2.518177083333331,-1.8741666666666816,5.359166666666638
CLE,0,5,110,101,1,20141107,DEN,0.512,0.075,0.15,0.28600000000000003,96.7,113.8,104.5,0.535,0.124,0.182,0.118,96.7,104.5,113.8,,,,,,,,,,,,,,,-2.3,-4.9,-3.2,16.8,9.3,,,,,,,,,,,2015,0.25,0.25,0.2,-185.0,-4.5,1.0,0.2,1.5405405405405406,0.6491228070175439,0.4515,0.129,0.28475,0.28075,87.44999999999996,107.25,113.25,9,,,,,,,-3.9686249999999976,2.777958333333336,-0.6031249999999988,4.1229583333333295,1.538583333333321,7.538583333333321
CLE,1,6,118,111,1,20141110,NOP,0.574,0.087,0.316,0.309,88.8,132.9,125.0,0.505,0.047,0.298,0.183,88.8,125.0,132.9,,,,,,,,,,,,,,,6.9,4.0,1.8,12.6,7.9,,,,,,,,,,,2015,0.4,0.6,0.4,-245.0,-6.0,1.0,0.2,1.4081632653061225,0.7101449275362319,0.4635999999999999,0.1182,0.2578,0.2818,89.29999999999998,108.56,111.5,7,,,,,,,-3.005332167832181,0.09468822843822777,-1.6624737762237745,4.83511655011655,2.555850815850789,5.495850815850787
CLE,0,7,122,121,1,20141114,BOS,0.5529999999999999,0.098,0.205,0.329,102.1,119.5,118.5,0.58,0.125,0.2,0.21600000000000005,102.1,118.5,119.5,,,,,,,,0.519,0.126,0.29100000000000004,0.163,94.6,110.5,112.614,-2.7,-2.7,0.5,11.3,1.0,,,,,,,,,,,2015,0.5,0.42857142857142855,0.6,-220.0,-5.5,-1.0,0.2,1.4545454545454546,0.6875,0.4819999999999999,0.113,0.2675,0.2863333333333333,89.21666666666665,112.61666666666666,113.75,1,,,,,,,-1.2745023767082753,1.2904478609625736,-1.9292609922756985,5.339353832442057,6.1039676173499515,7.2373009506832915
CLE,1,8,127,94,1,20141115,ATL,0.65,0.12,0.316,0.111,97.4,130.4,96.5,0.461,0.158,0.239,0.122,97.4,96.5,130.4,0.4920000000000001,0.111,0.259,0.292,91.057,113.6,114.429,0.524,0.134,0.203,0.259,91.5,109.386,104.257,18.9,-3.8,7.7,-1.1,33.9,,,,,,,,,,,2015,0.5714285714285714,0.625,0.0,-310.0,-7.0,1.0,0.0,1.3225806451612905,0.7560975609756097,0.4921428571428571,0.11085714285714283,0.25857142857142856,0.2924285714285714,91.05714285714285,113.6,114.42857142857143,33,-0.3517522446689014,0.620422979797991,-2.125413159371496,6.015130471380467,7.09745089786756,7.926450897867568,-0.3374665303832014,0.5775658369408465,-2.139698873657213,6.057987614237612,7.09745089786756,7.926022326438996
CLE,1,9,97,106,0,20141117,DEN,0.494,0.14400000000000002,0.231,0.241,94.0,103.2,112.8,0.5529999999999999,0.141,0.214,0.141,94.0,112.8,103.2,0.511,0.1,0.261,0.274,93.1,116.757,111.886,0.481,0.119,0.26,0.235,97.386,107.0,116.086,-5.9,0.3,1.7,10.0,-9.6,,,,,,,,,,,2015,0.625,0.2222222222222222,0.2,-1000.0,-11.5,-1.0,0.0,1.1,0.9090909090909092,0.511875,0.11199999999999999,0.26575,0.26975000000000005,91.85,115.7,112.1875,-9,1.6754229797979803,0.8566306818181824,-3.175121843434345,4.171992424242421,10.414205808080808,5.543205808080799,1.7629229797979762,1.33163068181818,-1.9751218434343465,3.7469924242424235,9.357205808080806,5.844705808080803
CLE,1,10,90,92,0,20141119,SAS,0.488,0.153,0.238,0.108,90.2,99.7,101.9,0.507,0.15,0.263,0.23,90.2,101.9,99.7,0.523,0.111,0.238,0.268,93.457,115.386,112.729,0.464,0.12,0.221,0.21,93.671,101.6,96.471,-1.9,0.3,-2.5,-12.2,-2.2,,,,,,1.14,0.69,3.98,1.38,3.39,2015,0.5555555555555556,0.6,0.2,-140.0,-2.5,-1.0,0.2,1.7142857142857144,0.5833333333333333,0.5098888888888888,0.11555555555555555,0.26188888888888884,0.2665555555555556,92.08888888888887,114.31111111111107,112.25555555555556,-2,2.62734159779614,-1.5279367539026645,-1.9845173324150576,3.844172405876953,8.597916896235077,5.9409168962350805,1.3162304866850216,0.8609521349862204,-1.5289617768595027,3.699727961432511,7.523028007346156,5.467472451790641
