Date,LeagueORB,LeagueEFG,LeagueTOV,LeagueFTR,LeagueEff
20171017,,,,,
20171018,0.188,0.53575,0.12675,0.21025000000000002,110.15
20171019,0.21356818181818182,0.519965909090909,0.12751136363636364,0.20982954545454546,109.00681818181818
20171020,0.232989898989899,0.5044772727272727,0.13822979797979798,0.20110858585858585,105.860101010101
20171021,0.23195492424242425,0.5101329545454545,0.13982234848484848,0.2024189393939394,106.34007575757576
20171022,0.23048212121212122,0.5074427272727272,0.13871242424242425,0.20601696969696973,106.06842424242424
20171023,0.23181843434343433,0.5109800505050505,0.13873257575757578,0.20745858585858587,106.66813131313131
20171024,0.22851401515151512,0.5104739718614718,0.13999399350649352,0.21158057359307358,106.31375541125541
20171025,0.22660601325757573,0.5131022253787878,0.13854682765151516,0.21336216856060605,106.90057765151515
20171026,0.2260831228956229,0.5136797558922558,0.13900829124579125,0.21192748316498317,106.83162457912458
20171027,0.2260548106060606,0.5106217803030303,0.13769746212121212,0.21344473484848484,106.66446212121211
20171028,0.22846541223927588,0.5099159041715859,0.13686132920110194,0.2107030057064148,106.69691361668633
20171029,0.2280828778860029,0.5090427038239538,0.1373416351010101,0.20836317189754686,106.43519164862914
20171030,0.22736221694971698,0.5104954628704628,0.13731535547785548,0.20665391691641688,106.56600108225108
20171031,0.2277053919294991,0.5114441996495567,0.13713409992784992,0.20729371650175216,106.76088989383632
20171101,0.22565836580086582,0.5106312530062529,0.13615849326599327,0.2043324687349687,106.5326639009139
20171102,0.22466148877164505,0.5120084663600288,0.1359845249368687,0.2039549186056998,106.69807032377346
20171103,0.22212257766743063,0.5130667918682624,0.13523543523469994,0.20478109986418805,106.87906618708091
20171104,0.2213680826118326,0.5135491923200256,0.13499087401795737,0.2050316869087702,106.94712732483568
20171105,0.22061186773752564,0.5146623927242349,0.13506503854332802,0.20360370338725597,107.00517325510748
20171106,0.22007016323953826,0.5151320508658009,0.13482845328282828,0.20321240710678207,107.04352570346323
20171107,0.2193049173709888,0.5128479849515565,0.13513820947570948,0.2042499115302686,106.65970701917132
20171108,0.21924333021776207,0.5139344401810312,0.13536829086317723,0.20494991555162,106.84131124557263
20171109,0.2188762289039463,0.5148329427818559,0.13551314778216952,0.20505644096241915,106.90299336533035
20171110,0.22025638603294853,0.5154774034992785,0.1358834332912458,0.20540825592231834,107.01036864177492
20171111,0.22036863059163062,0.5145383073593074,0.13588059595959598,0.20468942568542559,106.80820389610393
20171112,0.2204313755688756,0.5151871836496836,0.13616840520590523,0.2057188533688533,106.89949675324678
20171113,0.2197302135107691,0.5156617324033991,0.13608809390198282,0.20545148842926614,106.9448857623858
20171114,0.21997992810760672,0.515939686404865,0.136386534992785,0.20477663368377647,106.93990968357043
20171115,0.21890016047171224,0.5158957891725133,0.13621803378613723,0.207410772752152,106.99083233815995
20171116,0.21992015512265517,0.5158507780182781,0.13598046296296298,0.20746526214526206,107.0987136844637
20171117,0.219713053344505,0.5147749464693013,0.13565044802867385,0.20938573755993103,107.05440033980358
20171118,0.21964957724567102,0.5150973203012266,0.1350860874368687,0.20820606962481958,107.14502987463926
20171119,0.219326862783681,0.5149385270453453,0.13475663889982073,0.20771930561021465,107.13370862302682
20171120,0.21968244525082764,0.5153349429165606,0.13457507108904168,0.2063059927001103,107.16654072234957
20171121,0.21934086889301177,0.5149370614306329,0.1346534456813028,0.20600893836322404,107.06762657184088
20171122,0.2202341780904281,0.5133138097242264,0.13407973885682217,0.20468924563091226,106.88241472262308
20171124,0.21999425821925825,0.5135167183417183,0.13411329803829802,0.204315405015405,106.87748459498461
20171125,0.2205180935292778,0.513875488911673,0.13384979019518492,0.20318210488342064,106.95241921090606
20171126,0.22006506549006552,0.5143030404780404,0.13387415454915455,0.2025684611684611,106.98774179524182
20171127,0.22061760551948054,0.5144871311327561,0.13378146735209234,0.20205008297258292,107.06763158369411
20171128,0.22043485904339563,0.5153151889100059,0.13345752912399253,0.2018766053391053,107.23320764262839
20171129,0.2198149814471243,0.5151243510788154,0.13314425462104035,0.20102001949769802,107.16741698447058
20171130,0.21993091211114468,0.5158819243095405,0.13317462079264406,0.20155792602100736,107.29573286855266
20171201,0.2204506641086187,0.5171300623934146,0.13344110668372033,0.20163160952052994,107.47242075790373
20171202,0.22068370490620492,0.5177285610068942,0.1333826932018599,0.2011009070867404,107.56483918550589
20171203,0.22081965697346134,0.5180347335937009,0.13304013465399336,0.2016734417152895,107.70011442060358
20171204,0.22091498342083452,0.5178999520278775,0.1329456637039084,0.20186975146602804,107.71138858186734
20171205,0.22068758793290047,0.5179484378757816,0.13285967449795574,0.2017247377044252,107.7237460167148
20171206,0.2200272970227052,0.5180583337014459,0.13305981719527638,0.20233919883970905,107.70115256059137
20171207,0.22027075108225114,0.518250167027417,0.13288862085137088,0.20149541486291486,107.72412950937955
20171208,0.22010857949240306,0.5181913402229578,0.1327118831876185,0.20166707339501458,107.71017598958778
20171209,0.220004327963703,0.518103525987901,0.13241333735708738,0.2018705912143412,107.74363414363417
20171210,0.21999009536061429,0.5184883651202047,0.1321800668409159,0.20181831590841023,107.82507500884863
20171211,0.22036373556998562,0.518713889222917,0.13224771992410883,0.20195593968788414,107.87862300251192
20171212,0.21969045552931923,0.5190630306309851,0.13204624622851896,0.2021112862390135,107.93007228125411
20171213,0.21993577902752018,0.5186282316146155,0.13179924693362194,0.20152128878066375,107.89356588847662
20171214,0.2198404144831777,0.518672765562897,0.13154545897572215,0.20118855661881976,107.90985810485812
